NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
0.2,0.25,0.24,0.7302857142857143,0.21527272727272728,0.7655064935064936,0.1782857142857143,0.7738571428571429,0.15964673913043476,0.8416954476390837,0.03236363636363637,0.020000000000000018,0.040000000000000036,0.013247282608695676,0.013247282608695676,0.024415760869565244
0.2,0.2,0.24763636363636365,0.7264675324675325,0.21527272727272728,0.7655064935064936,0.1824285714285714,0.7717857142857143,0.15964673913043476,0.8416954476390837,0.02854545454545454,0.020000000000000018,0.03792857142857142,0.013247282608695676,0.013247282608695676,0.023725284679089038
0.2,0.15,0.24763636363636365,0.7264675324675325,0.21527272727272728,0.7655064935064936,0.18757142857142858,0.7692142857142857,0.15964673913043476,0.8416954476390837,0.02854545454545454,0.020000000000000018,0.035357142857142865,0.013247282608695676,0.013247282608695676,0.022868141821946186
0.15,0.25,0.24763636363636365,0.7264675324675325,0.23818181818181816,0.7540519480519481,0.1782857142857143,0.7738571428571429,0.18070652173913043,0.8311655563347359,0.02854545454545454,0.008545454545454523,0.040000000000000036,0.0027173913043478937,0.0027173913043478937,0.017087615283267483
0.125,0.25,0.24763636363636365,0.7264675324675325,0.24,0.7531428571428572,0.1782857142857143,0.7738571428571429,0.18070652173913043,0.8311655563347359,0.02854545454545454,0.007636363636363663,0.040000000000000036,0.0027173913043478937,0.0027173913043478937,0.0167845849802372
0.25,0.25,0.24763636363636365,0.7264675324675325,0.21709090909090906,0.7645974025974027,0.1782857142857143,0.7738571428571429,0.1861413043478261,0.828448165030388,0.02854545454545454,0.01909090909090916,0.040000000000000036,0.0,0.0,0.01969696969696973
0.2,0.125,0.25527272727272726,0.7226493506493507,0.21527272727272728,0.7655064935064936,0.18999999999999997,0.768,0.15964673913043476,0.8416954476390837,0.02472727272727271,0.020000000000000018,0.03414285714285714,0.013247282608695676,0.013247282608695676,0.02246337991718428
0.2,0.1,0.25527272727272726,0.7226493506493507,0.21527272727272728,0.7655064935064936,0.19414285714285714,0.7659285714285714,0.15964673913043476,0.8416954476390837,0.02472727272727271,0.020000000000000018,0.03207142857142853,0.013247282608695676,0.013247282608695676,0.021772903726708075
0.2,0.075,0.25527272727272726,0.7226493506493507,0.22472727272727272,0.7607792207792209,0.20585714285714285,0.7600714285714286,0.15964673913043476,0.8416954476390837,0.02472727272727271,0.015272727272727327,0.026214285714285745,0.013247282608695676,0.013247282608695676,0.018244765198569584
0.2,0.025,0.25527272727272726,0.7226493506493507,0.23236363636363638,0.7569610389610391,0.24414285714285716,0.7409285714285714,0.15964673913043476,0.8416954476390837,0.02472727272727271,0.011454545454545495,0.007071428571428506,0.013247282608695676,0.007071428571428506,0.010591085544889892
0.15,0.2,0.25527272727272726,0.7226493506493507,0.23818181818181816,0.7540519480519481,0.1824285714285714,0.7717857142857143,0.18070652173913043,0.8311655563347359,0.02472727272727271,0.008545454545454523,0.03792857142857142,0.0027173913043478937,0.0027173913043478937,0.01639713909279128
0.15,0.15,0.25527272727272726,0.7226493506493507,0.23818181818181816,0.7540519480519481,0.18757142857142858,0.7692142857142857,0.18070652173913043,0.8311655563347359,0.02472727272727271,0.008545454545454523,0.035357142857142865,0.0027173913043478937,0.0027173913043478937,0.015539996235648426
