variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
lora,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.19999999999999996,0.44,0.07
lora,CHANNEL_V57,clean,120,60,60,0.19999999999999996,0.11666666666666667,0.23333333333333334
lora,CHANNEL_V57,clean_flac,58,29,29,0.31034482758620685,0.20689655172413793,0.41379310344827586
lora,CHANNEL_V57,flac16k,600,300,300,0.1966666666666667,0.3433333333333333,0.10666666666666667
lora,CHANNEL_V57,g711_ulaw,120,60,60,0.21666666666666673,0.21666666666666667,0.21666666666666667
lora,CHANNEL_V57,g722_wb,120,60,60,0.19999999999999996,0.15,0.21666666666666667
lora,CHANNEL_V57,mp3_64k,58,29,29,0.4482758620689655,0.41379310344827586,0.4482758620689655
lora,CHANNEL_V57,noisy_flac,58,29,29,0.2758620689655173,0.27586206896551724,0.3103448275862069
lora,CHANNEL_V57,ogg_48k,59,29,30,0.339080459770115,0.27586206896551724,0.4
lora,CHANNEL_V57,opus_nb_8k,120,60,60,0.28333333333333327,0.2,0.35
lora,CHANNEL_V57,stereo_wav,59,30,29,0.3390804597701149,0.2,0.4482758620689655
lora,CHANNEL_V57,telephone8k,600,300,300,0.1966666666666667,0.41333333333333333,0.08666666666666667
lora,CHANNEL_V57,telephone_flac,58,29,29,0.31034482758620685,0.20689655172413793,0.4482758620689655
lora,CHANNEL_V57,transcode_g711_opus,120,60,60,0.25,0.23333333333333334,0.2833333333333333
lora,CHANNEL_V57,unknown,90,30,60,0.19999999999999996,0.13333333333333333,0.35
lora,CHANNEL_V57,wav,176,90,86,0.15335917312661496,0.32222222222222224,0.03488372093023256
lora,CHANNEL_V57,wav16k,1600,800,800,0.10499999999999998,0.0925,0.10875
lora,LAYOUT_V57,concurrent,1900,950,950,0.1347368421052631,0.11157894736842106,0.14526315789473684
lora,LAYOUT_V57,partial_overlap,300,150,150,0.26666666666666666,0.24666666666666667,0.2866666666666667
lora,LAYOUT_V57,sequential,900,450,450,0.2088888888888889,0.26666666666666666,0.17777777777777778
lora,LAYOUT_V57,simultaneous,600,300,300,0.23333333333333334,0.46,0.09
lora,LAYOUT_V57,speech_only,266,120,146,0.22551369863013704,0.275,0.1643835616438356
lora,LAYOUT_V57,voice_only,50,25,25,0.15999999999999998,0.04,0.28
original_wavlm,ALL,ALL,4016,1995,2021,0.20493080796994967,0.06817042606516291,0.41761504205838695
original_wavlm,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.21297297297297302,0.061621621621621624,0.3989189189189189
original_wavlm,VOICE_CONTEXT,pure_voice,316,145,171,0.2342004436378302,0.18620689655172415,0.39766081871345027
original_wavlm,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.1913513513513514,0.05621621621621622,0.44
original_wavlm,COMPONENT_CASE,FF,925,0,925,,,0.3989189189189189
original_wavlm,COMPONENT_CASE,FR,925,0,925,,,0.44
original_wavlm,COMPONENT_CASE,RF,925,925,0,,0.061621621621621624,
original_wavlm,COMPONENT_CASE,RR,925,925,0,,0.05621621621621622,
original_wavlm,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.39766081871345027
original_wavlm,COMPONENT_CASE,real_voice_only,145,145,0,,0.18620689655172415,
original_wavlm,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.18746770025839793,0.26666666666666666,0.1511627906976744
original_wavlm,DATASET,codec_mixed_dev_v4,600,300,300,0.2733333333333334,0.043333333333333335,0.6166666666666667
original_wavlm,DATASET,external_mixed_v1,400,200,200,0.18,0.05,0.32
original_wavlm,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.16999999999999998,0.05,0.345
original_wavlm,DATASET,factorial_eval_1200_v2,350,175,175,0.3257142857142857,0.02857142857142857,0.7885714285714286
original_wavlm,DATASET,mixfake_music_dev_v1,1600,800,800,0.12999999999999995,0.01875,0.3625
original_wavlm,DATASET,multigen_voice_v2,90,30,60,0.19999999999999996,0.06666666666666667,0.6333333333333333
original_wavlm,DATASET,source_disjoint_mixed_v1,200,100,100,0.26,0.27,0.25
original_wavlm,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.28,0.3,0.22
original_wavlm,CHANNEL_V57,clean,120,60,60,0.28333333333333327,0.05,0.5666666666666667
original_wavlm,CHANNEL_V57,clean_flac,58,29,29,0.41379310344827586,0.0,0.7931034482758621
original_wavlm,CHANNEL_V57,flac16k,600,300,300,0.18999999999999995,0.12333333333333334,0.2966666666666667
original_wavlm,CHANNEL_V57,g711_ulaw,120,60,60,0.25,0.05,0.6
original_wavlm,CHANNEL_V57,g722_wb,120,60,60,0.28333333333333327,0.06666666666666667,0.5666666666666667
original_wavlm,CHANNEL_V57,mp3_64k,58,29,29,0.31034482758620685,0.0,0.8275862068965517
original_wavlm,CHANNEL_V57,noisy_flac,58,29,29,0.2068965517241379,0.034482758620689655,0.7931034482758621
original_wavlm,CHANNEL_V57,ogg_48k,59,29,30,0.4068965517241379,0.13793103448275862,0.7
original_wavlm,CHANNEL_V57,opus_nb_8k,120,60,60,0.25,0.016666666666666666,0.6666666666666666
original_wavlm,CHANNEL_V57,stereo_wav,59,30,29,0.2712643678160919,0.0,0.8275862068965517
original_wavlm,CHANNEL_V57,telephone8k,600,300,300,0.2066666666666666,0.13333333333333333,0.30333333333333334
original_wavlm,CHANNEL_V57,telephone_flac,58,29,29,0.31034482758620685,0.0,0.7931034482758621
original_wavlm,CHANNEL_V57,transcode_g711_opus,120,60,60,0.28333333333333327,0.03333333333333333,0.6833333333333333
original_wavlm,CHANNEL_V57,unknown,90,30,60,0.19999999999999996,0.06666666666666667,0.6333333333333333
original_wavlm,CHANNEL_V57,wav,176,90,86,0.18746770025839793,0.26666666666666666,0.1511627906976744
original_wavlm,CHANNEL_V57,wav16k,1600,800,800,0.12999999999999995,0.01875,0.3625
original_wavlm,LAYOUT_V57,concurrent,1900,950,950,0.17473684210526313,0.017894736842105262,0.4326315789473684
original_wavlm,LAYOUT_V57,partial_overlap,300,150,150,0.28,0.02,0.6466666666666666
original_wavlm,LAYOUT_V57,sequential,900,450,450,0.2066666666666666,0.11555555555555555,0.3466666666666667
original_wavlm,LAYOUT_V57,simultaneous,600,300,300,0.21999999999999997,0.12333333333333334,0.37333333333333335
original_wavlm,LAYOUT_V57,speech_only,266,120,146,0.27448630136986296,0.21666666666666667,0.3493150684931507
original_wavlm,LAYOUT_V57,voice_only,50,25,25,0.15999999999999998,0.04,0.68
xlsr_reference,ALL,ALL,4016,1995,2021,0.12624547514258183,0.0786967418546366,0.19396338446313707
xlsr_reference,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.1275675675675676,0.08108108108108109,0.18162162162162163
xlsr_reference,VOICE_CONTEXT,pure_voice,316,145,171,0.18029844726759425,0.2,0.15204678362573099
xlsr_reference,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.12540540540540546,0.057297297297297295,0.21405405405405406
xlsr_reference,COMPONENT_CASE,FF,925,0,925,,,0.18162162162162163
xlsr_reference,COMPONENT_CASE,FR,925,0,925,,,0.21405405405405406
xlsr_reference,COMPONENT_CASE,RF,925,925,0,,0.08108108108108109,
xlsr_reference,COMPONENT_CASE,RR,925,925,0,,0.057297297297297295,
xlsr_reference,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.15204678362573099
xlsr_reference,COMPONENT_CASE,real_voice_only,145,145,0,,0.2,
xlsr_reference,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.07958656330749353,0.32222222222222224,0.0
xlsr_reference,DATASET,codec_mixed_dev_v4,600,300,300,0.18,0.10333333333333333,0.32
xlsr_reference,DATASET,external_mixed_v1,400,200,200,0.14000000000000007,0.075,0.185
xlsr_reference,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.15999999999999998,0.115,0.2
xlsr_reference,DATASET,factorial_eval_1200_v2,350,175,175,0.2571428571428571,0.03428571428571429,0.4742857142857143
xlsr_reference,DATASET,mixfake_music_dev_v1,1600,800,800,0.04249999999999998,0.01125,0.12625
xlsr_reference,DATASET,multigen_voice_v2,90,30,60,0.06666666666666665,0.0,0.2833333333333333
xlsr_reference,DATASET,source_disjoint_mixed_v1,200,100,100,0.14999999999999997,0.22,0.11
xlsr_reference,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.12999999999999995,0.22,0.07
xlsr_reference,CHANNEL_V57,clean,120,60,60,0.06666666666666665,0.0,0.23333333333333334
xlsr_reference,CHANNEL_V57,clean_flac,58,29,29,0.2068965517241379,0.034482758620689655,0.3103448275862069
xlsr_reference,CHANNEL_V57,flac16k,600,300,300,0.12999999999999995,0.12333333333333334,0.16
xlsr_reference,CHANNEL_V57,g711_ulaw,120,60,60,0.08333333333333331,0.0,0.38333333333333336
xlsr_reference,CHANNEL_V57,g722_wb,120,60,60,0.050000000000000044,0.0,0.25
xlsr_reference,CHANNEL_V57,mp3_64k,58,29,29,0.3448275862068966,0.10344827586206896,0.6896551724137931
xlsr_reference,CHANNEL_V57,noisy_flac,58,29,29,0.2068965517241379,0.0,0.41379310344827586
xlsr_reference,CHANNEL_V57,ogg_48k,59,29,30,0.23735632183908045,0.06896551724137931,0.43333333333333335
xlsr_reference,CHANNEL_V57,opus_nb_8k,120,60,60,0.31666666666666665,0.2,0.35
xlsr_reference,CHANNEL_V57,stereo_wav,59,30,29,0.2712643678160919,0.0,0.5172413793103449
xlsr_reference,CHANNEL_V57,telephone8k,600,300,300,0.15666666666666668,0.15,0.15666666666666668
xlsr_reference,CHANNEL_V57,telephone_flac,58,29,29,0.2758620689655173,0.0,0.4827586206896552
xlsr_reference,CHANNEL_V57,transcode_g711_opus,120,60,60,0.3333333333333333,0.31666666666666665,0.38333333333333336
xlsr_reference,CHANNEL_V57,unknown,90,30,60,0.06666666666666665,0.0,0.2833333333333333
xlsr_reference,CHANNEL_V57,wav,176,90,86,0.07958656330749353,0.32222222222222224,0.0
xlsr_reference,CHANNEL_V57,wav16k,1600,800,800,0.04249999999999998,0.01125,0.12625
xlsr_reference,LAYOUT_V57,concurrent,1900,950,950,0.0831578947368421,0.018947368421052633,0.20210526315789473
xlsr_reference,LAYOUT_V57,partial_overlap,300,150,150,0.19333333333333336,0.06,0.32
xlsr_reference,LAYOUT_V57,sequential,900,450,450,0.13777777777777778,0.14888888888888888,0.13333333333333333
xlsr_reference,LAYOUT_V57,simultaneous,600,300,300,0.15999999999999998,0.11333333333333333,0.22
xlsr_reference,LAYOUT_V57,speech_only,266,120,146,0.17311643835616441,0.24166666666666667,0.11643835616438356
xlsr_reference,LAYOUT_V57,voice_only,50,25,25,0.040000000000000036,0.0,0.36
