variant,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,macro_ads,selection
control,4577,4577,4016,4261,0.18876387401952033,0.21140518292267038,0.14175077053907992,0.9983825837470084,0.9981150796597934,0.8208117952439818,0.9982488317034008,0.8385554988899238,0.8349118620853997,0.8278618286646908
adapted,4577,4577,4016,4261,0.16885187110831085,0.19497023111961,0.12907768840479134,0.9992702984852035,0.9987567546692254,0.8378567117004851,0.9990135265772144,0.8539723931881581,0.8383245698621844,0.8380906407813348
