variant,type,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
control,mixed,3700,3700,3700,3700,0.19351351351351354,0.21027027027027023,0.1518918918918919,,,0.8156216216216216,,
control,music_only,561,561,0,561,0.0748665480427046,,0.06417132689374683,,,,,
control,voice_only,316,316,316,0,0.15825771324863885,0.20578745714861868,,,,,,
adapted,mixed,3700,3700,3700,3700,0.18162162162162165,0.19243243243243247,0.13891891891891894,,,0.829027027027027,,
adapted,music_only,561,561,0,561,0.06060625317742756,,0.05347610574478903,,,,,
adapted,voice_only,316,316,316,0,0.1802984472675943,0.19941520467836257,,,,,,
