DATASET,N,MUSIC_EER
external_mixed_train_v1,800,0.03500000000000002
mixed_devvoice_train_v1,800,0.060000000000000026
mixed_fmc_music_train_v1,800,0.050000000000000024
mixfake_music_train_v1,8000,0.0665
telephone_mixed_train_v1,2400,0.0675
temporal_mixed_train_v2,3200,0.018750000000000024
channel_invariant_factorial_train_v1,3000,0.05416700521044926
