epoch,loss,selection,pooled_music_eer,elapsed_seconds
2,0.6876910039572977,0.597623113161913,0.3928655461629467,1143.6556601524353
4,0.5880826568172779,0.6284510371770968,0.36094815412103465,2220.231964644976
6,0.4956798452185467,0.6296448509211808,0.3456934631408032,3306.455905005336
8,0.4176785073650535,0.651895736295287,0.3313776291410279,4365.051951990463
