bank,axis,group,model,rows,real_n,fake_n,FILE_EER
fixed,ALL,ALL,local,2160,1080,1080,0.31018518518518523
fixed,DURATION,30,anchor,720,360,360,0.3194444444444444
fixed,DURATION,30,parent,720,360,360,0.32499999999999996
fixed,DURATION,30,global,720,360,360,0.33333333333333337
fixed,DURATION,30,local,720,360,360,0.2861111111111111
fixed,DURATION,45,anchor,720,360,360,0.3138888888888889
fixed,DURATION,45,parent,720,360,360,0.3555555555555555
fixed,DURATION,45,global,720,360,360,0.35
fixed,DURATION,45,local,720,360,360,0.3222222222222222
fixed,DURATION,60,anchor,720,360,360,0.30000000000000004
fixed,DURATION,60,parent,720,360,360,0.36388888888888893
fixed,DURATION,60,global,720,360,360,0.37222222222222223
fixed,DURATION,60,local,720,360,360,0.3111111111111111
fixed,CHANNEL,clean,anchor,720,360,360,0.19166666666666665
fixed,CHANNEL,clean,parent,720,360,360,0.2944444444444444
fixed,CHANNEL,clean,global,720,360,360,0.3305555555555556
fixed,CHANNEL,clean,local,720,360,360,0.18611111111111112
fixed,CHANNEL,g711_ulaw,anchor,720,360,360,0.23055555555555554
fixed,CHANNEL,g711_ulaw,parent,720,360,360,0.3583333333333333
fixed,CHANNEL,g711_ulaw,global,720,360,360,0.3555555555555555
fixed,CHANNEL,g711_ulaw,local,720,360,360,0.2694444444444445
fixed,CHANNEL,opus_nb_8k,anchor,720,360,360,0.3388888888888889
fixed,CHANNEL,opus_nb_8k,parent,720,360,360,0.4222222222222223
fixed,CHANNEL,opus_nb_8k,global,720,360,360,0.42500000000000004
fixed,CHANNEL,opus_nb_8k,local,720,360,360,0.4083333333333333
fixed,POSITION,early,anchor,720,360,360,0.3055555555555556
fixed,POSITION,early,parent,720,360,360,0.3916666666666667
fixed,POSITION,early,global,720,360,360,0.4027777777777778
fixed,POSITION,early,local,720,360,360,0.3027777777777778
fixed,POSITION,late,anchor,720,360,360,0.30833333333333335
fixed,POSITION,late,parent,720,360,360,0.3194444444444444
fixed,POSITION,late,global,720,360,360,0.3194444444444444
fixed,POSITION,late,local,720,360,360,0.2944444444444444
fixed,POSITION,middle,anchor,720,360,360,0.30833333333333335
fixed,POSITION,middle,parent,720,360,360,0.3416666666666667
fixed,POSITION,middle,global,720,360,360,0.35277777777777775
fixed,POSITION,middle,local,720,360,360,0.3305555555555556
fixed,RECORDING,direct,anchor,1080,540,540,0.24629629629629632
fixed,RECORDING,direct,parent,1080,540,540,0.2944444444444444
fixed,RECORDING,direct,global,1080,540,540,0.312962962962963
fixed,RECORDING,direct,local,1080,540,540,0.27222222222222225
fixed,RECORDING,replay,anchor,1080,540,540,0.3648148148148148
fixed,RECORDING,replay,parent,1080,540,540,0.3907407407407407
fixed,RECORDING,replay,global,1080,540,540,0.40740740740740744
fixed,RECORDING,replay,local,1080,540,540,0.3462962962962963
fixed,DURATION_CHANNEL,30:clean,anchor,240,120,120,0.19166666666666665
fixed,DURATION_CHANNEL,30:clean,parent,240,120,120,0.2666666666666667
fixed,DURATION_CHANNEL,30:clean,global,240,120,120,0.29166666666666663
fixed,DURATION_CHANNEL,30:clean,local,240,120,120,0.15833333333333333
fixed,DURATION_CHANNEL,30:g711_ulaw,anchor,240,120,120,0.22499999999999998
fixed,DURATION_CHANNEL,30:g711_ulaw,parent,240,120,120,0.33333333333333337
fixed,DURATION_CHANNEL,30:g711_ulaw,global,240,120,120,0.32499999999999996
fixed,DURATION_CHANNEL,30:g711_ulaw,local,240,120,120,0.25
fixed,DURATION_CHANNEL,30:opus_nb_8k,anchor,240,120,120,0.31666666666666665
fixed,DURATION_CHANNEL,30:opus_nb_8k,parent,240,120,120,0.4083333333333333
fixed,DURATION_CHANNEL,30:opus_nb_8k,global,240,120,120,0.41666666666666663
fixed,DURATION_CHANNEL,30:opus_nb_8k,local,240,120,120,0.4
fixed,DURATION_CHANNEL,45:clean,anchor,240,120,120,0.19999999999999998
fixed,DURATION_CHANNEL,45:clean,parent,240,120,120,0.30000000000000004
fixed,DURATION_CHANNEL,45:clean,global,240,120,120,0.31666666666666665
fixed,DURATION_CHANNEL,45:clean,local,240,120,120,0.19166666666666665
fixed,DURATION_CHANNEL,45:g711_ulaw,anchor,240,120,120,0.21666666666666667
fixed,DURATION_CHANNEL,45:g711_ulaw,parent,240,120,120,0.3666666666666667
fixed,DURATION_CHANNEL,45:g711_ulaw,global,240,120,120,0.3666666666666667
fixed,DURATION_CHANNEL,45:g711_ulaw,local,240,120,120,0.30833333333333335
fixed,DURATION_CHANNEL,45:opus_nb_8k,anchor,240,120,120,0.33333333333333337
fixed,DURATION_CHANNEL,45:opus_nb_8k,parent,240,120,120,0.44166666666666665
fixed,DURATION_CHANNEL,45:opus_nb_8k,global,240,120,120,0.43333333333333335
fixed,DURATION_CHANNEL,45:opus_nb_8k,local,240,120,120,0.41666666666666663
fixed,DURATION_CHANNEL,60:clean,anchor,240,120,120,0.20833333333333337
fixed,DURATION_CHANNEL,60:clean,parent,240,120,120,0.33333333333333337
fixed,DURATION_CHANNEL,60:clean,global,240,120,120,0.35
fixed,DURATION_CHANNEL,60:clean,local,240,120,120,0.19999999999999998
fixed,DURATION_CHANNEL,60:g711_ulaw,anchor,240,120,120,0.25
fixed,DURATION_CHANNEL,60:g711_ulaw,parent,240,120,120,0.3583333333333333
fixed,DURATION_CHANNEL,60:g711_ulaw,global,240,120,120,0.3666666666666667
fixed,DURATION_CHANNEL,60:g711_ulaw,local,240,120,120,0.275
fixed,DURATION_CHANNEL,60:opus_nb_8k,anchor,240,120,120,0.35
fixed,DURATION_CHANNEL,60:opus_nb_8k,parent,240,120,120,0.42500000000000004
fixed,DURATION_CHANNEL,60:opus_nb_8k,global,240,120,120,0.43333333333333335
fixed,DURATION_CHANNEL,60:opus_nb_8k,local,240,120,120,0.4083333333333333
