weight,dev,holdout,all_phone_channel,phone_factorial,dev_delta,holdout_delta,phone_delta
0.0,0.9985142857142857,0.9988,0.9979889391654098,0.9820468750000001,0.0,0.0,0.0
0.005,0.9985714285714286,0.9988571428571429,0.9984917043740573,0.9846499999999999,5.714285714286671e-05,5.714285714286671e-05,0.0026031249999998174
0.01,0.9986285714285714,0.9988571428571429,0.9984917043740573,0.986778125,0.00011428571428573342,5.714285714286671e-05,0.004731249999999854
0.015,0.9986285714285714,0.9989142857142856,0.9984917043740573,0.9887218750000001,0.00011428571428573342,0.0001142857142856224,0.0066749999999999865
0.02,0.9987428571428572,0.9989142857142856,0.9984917043740573,0.99039375,0.00022857142857146684,0.0001142857142856224,0.008346874999999865
0.025,0.9987428571428572,0.9989714285714285,0.9984917043740573,0.991746875,0.00022857142857146684,0.0001714285714284891,0.009699999999999931
0.03,0.9987428571428572,0.9989714285714285,0.9984917043740573,0.992834375,0.00022857142857146684,0.0001714285714284891,0.01078749999999995
0.04,0.9988571428571429,0.9989714285714285,0.9984917043740573,0.9945812500000001,0.00034285714285720026,0.0001714285714284891,0.012534374999999986
0.05,0.9989714285714286,0.9990285714285714,0.9984917043740573,0.9957281250000001,0.0004571428571429337,0.00022857142857135582,0.013681249999999978
0.075,0.9990285714285714,0.9991428571428571,0.9989944695827049,0.9977281250000001,0.0005142857142856894,0.00034285714285708924,0.01568124999999998
0.1,0.9992571428571428,0.9991428571428571,0.9994972347913524,0.99890625,0.0007428571428571562,0.00034285714285708924,0.0168593749999999
0.15,0.9992571428571428,0.9988,0.9989944695827049,0.99956875,0.0007428571428571562,0.0,0.01752187499999991
0.2,0.9993142857142857,0.9982857142857143,0.9984917043740573,0.99973125,0.0008000000000000229,-0.0005142857142856894,0.017684374999999863
0.25,0.9993142857142857,0.9965142857142858,0.9974861739567622,0.9997843750000001,0.0008000000000000229,-0.0022857142857142243,0.01773749999999996
0.3,0.9987428571428572,0.9916,0.9969834087481146,0.99979375,0.00022857142857146684,-0.007199999999999984,0.01774687499999994
0.4,0.9976571428571429,0.9824,0.9959778783308195,0.999753125,-0.0008571428571427786,-0.01639999999999997,0.017706249999999923
0.5,0.9961714285714286,0.9824,0.9949723479135243,0.9996999999999999,-0.002342857142857091,-0.01639999999999997,0.017653124999999825
