EPOCH,LOSS,SELECTION,MEAN_VOICE_EER,WORST_VOICE_EER,WORST_GENERATOR_EER
0,0.8271427954946245,0.6707224724645043,0.3095386904761905,0.37142857142857144,0.415016611295681
2,0.43811574961457933,0.7004635102196092,0.27830654761904766,0.34285714285714286,0.39481727574750836
4,0.34901588686874935,0.695577457163836,0.2622083333333334,0.4,0.44093023255813957
6,0.3039192233766828,0.7228243333932394,0.24235416666666665,0.36,0.40053156146179403
8,0.28177683183125085,0.715263804810562,0.24782142857142858,0.36571428571428577,0.4
10,0.2577968267457826,0.7089913627486844,0.2513720238095238,0.4,0.4
12,0.22936482216630663,0.7221859888602855,0.23975,0.36,0.38476190476190475
14,0.22038175335952215,0.6993850150005827,0.25777083333333334,0.4,0.44093023255813957
16,0.20550088648285184,0.7067999269570617,0.25057440476190473,0.39428571428571424,0.44664451827242524
18,0.19480781895773752,0.7070532102078807,0.24165178571428575,0.41714285714285715,0.44664451827242524
20,0.18902429384844643,0.7092002972345232,0.23823511904761907,0.3771428571428571,0.4666666666666667
22,0.17170074794973647,0.7179620907887738,0.2416636904761905,0.37142857142857144,0.4178737541528239
