DATASET,N,MUSIC_EER
mixfake_music_dev_v1,1600,0.16125
external_mixed_v1,400,0.35
source_disjoint_mixed_v1,200,0.19999999999999998
source_disjoint_mixed_equal_v1,200,0.16000000000000003
source_disjoint_music_v1,400,0.235
factorial_eval_1200_v2_dev,400,0.25142857142857145
telephone_mixed_dev_v1,600,0.3666666666666667
factorial_eval_1200_v2_holdout,400,0.28
phone_factorial_1200_v1,1200,0.37250000000000005
yue_cross_component_audit_v1,124,0.3709677419354839
