DATASET,N,ANCHOR_VOICE_EER,FROZEN_VOICE_EER
mixfake_music_dev_v1,1600,0.10250000000000001,0.09624999999999997
external_mixed_v1,400,0.31000000000000005,0.265
external_mixed_v1_telephone_v1,400,0.31999999999999995,0.265
source_disjoint_mixed_v1,200,0.15000000000000002,0.13
source_disjoint_mixed_v1_telephone_v1,200,0.14,0.13
source_disjoint_mixed_equal_v1,200,0.08999999999999998,0.08999999999999998
telephone_mixed_dev_v1,600,0.2566666666666667,0.21333333333333337
factorial_eval_1200_v2:truth_dev.csv,350,0.2857142857142857,0.28
multigen_voice_v2:truth_dev.csv,90,0.09999999999999999,0.09999999999999999
