MODEL,WEIGHT,SELECTION,MEAN_EER,WORST_DATASET_EER,MEAN_GENERATOR_EER,WORST_GENERATOR_EER,MEAN_PHONE_EER,WORST_CHANNEL_EER
seed21_cc0,0.0,0.7588042032352564,0.1949867724867725,0.31999999999999995,0.20330984499900176,0.3976744186046512,0.2388888888888889,0.31034482758620685
seed21_cc0,0.0125,0.762120176207375,0.19492724867724873,0.31000000000000005,0.19977777364676977,0.39481727574750836,0.23888888888888893,0.31034482758620685
seed21_cc0,0.025,0.7620500375248122,0.1955621693121693,0.31499999999999995,0.19742904629283137,0.39481727574750836,0.24055555555555555,0.31034482758620685
seed21_cc0,0.0375,0.7635995912141808,0.19500661375661377,0.31000000000000005,0.1969251349994464,0.39481727574750836,0.23888888888888893,0.31034482758620685
seed21_cc0,0.05,0.7658184967707596,0.19283068783068785,0.30500000000000005,0.1954070526400986,0.39481727574750836,0.23611111111111113,0.31034482758620685
seed21_cc0,0.075,0.7736684120281364,0.18597222222222223,0.29500000000000004,0.19020896076848795,0.37747508305647837,0.225,0.31034482758620685
seed21_cc0,0.1,0.7788243271505748,0.18115740740740743,0.28,0.1888492590088383,0.37747508305647837,0.21555555555555558,0.31034482758620685
seed21_cc0,0.125,0.7776848249074199,0.1777645502645503,0.2857142857142857,0.18904610232929558,0.39481727574750836,0.20555555555555557,0.31034482758620685
seed21_cc0,0.15,0.779383876960571,0.17628306878306882,0.2857142857142857,0.1860411364191707,0.40053156146179403,0.20444444444444446,0.31034482758620685
seed21_cc0,0.175,0.7816568878179361,0.17688492063492064,0.2857142857142857,0.18173167821771147,0.39481727574750836,0.205,0.31034482758620685
seed21_cc0,0.2,0.7846970676175721,0.16878306878306878,0.2857142857142857,0.17975232406124467,0.39481727574750836,0.1927777777777778,0.31034482758620685
seed21_cc0,0.225,0.7835686585110005,0.16783068783068783,0.29714285714285715,0.1779387836846506,0.39481727574750836,0.19111111111111112,0.3448275862068966
seed21_cc0,0.25,0.7827886256899147,0.1668452380952381,0.3028571428571428,0.1782870409487404,0.39481727574750836,0.18833333333333332,0.3448275862068966
seed21_cc0,0.275,0.7849290143570794,0.1643452380952381,0.3028571428571428,0.17523289906838693,0.39196013289036546,0.18666666666666665,0.3448275862068966
seed21_cc0,0.3,0.7872279584747747,0.1615674603174603,0.3028571428571428,0.1725963876029372,0.37747508305647837,0.18333333333333332,0.3793103448275862
seed22_cc001,0.0,0.7588042032352564,0.1949867724867725,0.31999999999999995,0.20330984499900176,0.3976744186046512,0.2388888888888889,0.31034482758620685
seed22_cc001,0.0125,0.7607935513116875,0.19653439153439153,0.31499999999999995,0.2001416568396003,0.3976744186046512,0.24055555555555555,0.31034482758620685
seed22_cc001,0.025,0.7618750539889291,0.19449735449735453,0.31000000000000005,0.1979412654418314,0.415016611295681,0.23777777777777778,0.31034482758620685
seed22_cc001,0.0375,0.7634099596992437,0.19238095238095243,0.31000000000000005,0.1955038694465928,0.4178737541528239,0.23333333333333336,0.31034482758620685
seed22_cc001,0.05,0.7668925587985147,0.18938492063492063,0.30000000000000004,0.19307360564353673,0.4178737541528239,0.23,0.31034482758620685
seed22_cc001,0.075,0.7750142618829325,0.1825330687830688,0.2857142857142857,0.18955632971590902,0.40053156146179403,0.21444444444444444,0.30517241379310345
seed22_cc001,0.1,0.7771400654324496,0.17976851851851855,0.28,0.1870432206501502,0.415016611295681,0.21166666666666667,0.31034482758620685
seed22_cc001,0.125,0.7793652366422567,0.1764351851851852,0.28,0.18627249132157822,0.415016611295681,0.20666666666666667,0.31034482758620685
seed22_cc001,0.15,0.7790776309945272,0.1734920634920635,0.2914285714285715,0.18243623426957473,0.415016611295681,0.20444444444444446,0.31034482758620685
seed22_cc001,0.175,0.7821178698879145,0.17005291005291007,0.29714285714285715,0.17746418097926578,0.39481727574750836,0.20055555555555557,0.31034482758620685
seed22_cc001,0.2,0.783577202973974,0.16755291005291006,0.29714285714285715,0.17700559158124576,0.39481727574750836,0.19722222222222222,0.3793103448275862
seed22_cc001,0.225,0.7830351803036619,0.16638227513227513,0.3028571428571428,0.17546471286931442,0.39481727574750836,0.19611111111111112,0.3793103448275862
seed22_cc001,0.25,0.7836470909928877,0.16605820105820104,0.3028571428571428,0.1746667900319179,0.39481727574750836,0.19722222222222222,0.3448275862068966
seed22_cc001,0.275,0.788231824930583,0.16226190476190475,0.3028571428571428,0.17246949323456898,0.3746179401993356,0.19166666666666665,0.3793103448275862
seed22_cc001,0.3,0.787684822590219,0.16025793650793652,0.3085714285714286,0.17118545411637145,0.37747508305647837,0.18666666666666665,0.3793103448275862
seed23_cc005,0.0,0.7588042032352564,0.1949867724867725,0.31999999999999995,0.20330984499900176,0.3976744186046512,0.2388888888888889,0.31034482758620685
seed23_cc005,0.0125,0.7620794426255353,0.19478835978835982,0.31000000000000005,0.20027589394752163,0.3976744186046512,0.23888888888888893,0.31034482758620685
seed23_cc005,0.025,0.7615332349990591,0.19338624338624338,0.31000000000000005,0.19763329855491715,0.415016611295681,0.23444444444444446,0.31034482758620685
seed23_cc005,0.0375,0.7631486420694723,0.19346560846560848,0.30500000000000005,0.1955038694465928,0.4178737541528239,0.23277777777777778,0.31034482758620685
seed23_cc005,0.05,0.7655380661577059,0.19121031746031747,0.30000000000000004,0.1938512467835571,0.4178737541528239,0.23,0.31034482758620685
seed23_cc005,0.075,0.7712169054197648,0.18427910052910054,0.2914285714285715,0.19073749827864742,0.4178737541528239,0.21777777777777776,0.3390804597701149
seed23_cc005,0.1,0.774861990862646,0.18300925925925926,0.28500000000000003,0.1867164041339121,0.4178737541528239,0.21611111111111111,0.3390804597701149
