EPOCH,LOSS,SELECTION,MEAN_EER,WORST_EER
1,0.4675143144130707,0.6121598639455782,0.34130527210884354,0.43437500000000007
2,0.27794743138551714,0.6971428571428572,0.25571428571428567,0.35
3,0.18047081549465657,0.7129421768707482,0.2522406462585034,0.321875
4,0.1481954405605793,0.7184502551020409,0.25309948979591834,0.31000000000000005
5,0.11303873924165964,0.7242750850340136,0.2481164965986394,0.30333333333333334
6,0.0941940167285502,0.7224404761904761,0.2351190476190476,0.31999999999999995
7,0.0783643911331892,0.7393197278911565,0.21850340136054422,0.3028571428571428
8,0.07603314395807684,0.7616432823129252,0.20242772108843532,0.27428571428571424
9,0.07224858127161861,0.7619749149659863,0.20938350340136053,0.2666666666666667
10,0.06559869095869363,0.7602359693877552,0.2095280612244898,0.27
11,0.053051752131432296,0.7461352040816327,0.20487244897959184,0.3028571428571428
12,0.05465197680238634,0.7360289115646258,0.21460884353741497,0.31333333333333335
13,0.04694640264101326,0.7434715136054423,0.21019982993197278,0.3028571428571428
14,0.04425168504612521,0.7401169217687075,0.21119472789115643,0.3085714285714286
15,0.047662650409620255,0.7336926020408162,0.22261479591836736,0.31000000000000005
16,0.04337762918230146,0.755826955782313,0.20263180272108844,0.2857142857142857
17,0.0406680808365345,0.7500956632653062,0.20552295918367344,0.2942857142857143
18,0.0373978762771003,0.7512627551020408,0.1889030612244898,0.3085714285714286
19,0.036343247718177735,0.7585884353741497,0.1913945578231293,0.2914285714285715
20,0.03355346615007147,0.7607164115646257,0.18713860544217686,0.2914285714285715
21,0.03596950531424954,0.7732100340136054,0.19024659863945573,0.2633333333333333
22,0.032331492927391084,0.7719940476190477,0.17601190476190479,0.28
23,0.03146525843208656,0.7607525510204082,0.19278061224489793,0.2857142857142857
24,0.03087373595032841,0.7623511904761904,0.19529761904761905,0.28
25,0.027234518183162436,0.7604634353741495,0.1876445578231293,0.2914285714285715
26,0.02122936472343281,0.7578018707482994,0.1815391156462585,0.3028571428571428
27,0.024257605903316288,0.7592389455782312,0.17295068027210886,0.3085714285714286
28,0.026567364664049818,0.7557695578231293,0.19131802721088434,0.29714285714285715
29,0.021721926714875734,0.7566539115646258,0.19526360544217683,0.2914285714285715
30,0.021439929867978207,0.7708248299319729,0.18406462585034017,0.27428571428571424
31,0.021471992269856854,0.7574128401360544,0.1937457482993197,0.2914285714285715
32,0.022114978048717603,0.7678465136054422,0.20144982993197283,0.2628571428571429
33,0.022283294469118118,0.7698660714285714,0.18026785714285715,0.28
