EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS,LOSS_COMPONENT,LOSS_FILE,LOSS_LOCAL,LOSS_PRESENCE,LOSS_GLOBAL_PRESENCE,LOSS_COMPONENT_CONSISTENCY,LOSS_CHANNEL_CONSISTENCY
0,1.4517583847045898,0.5921238425925925,0.6473726851851852,0.536875,0.7210325598716736,0.6921110153198242,0.7295691967010498,0.7001635432243347,0.6483553647994995,0.004360262304544449,0.002197373891249299
5,0.9611157774925232,0.6979184027777778,0.728232638888889,0.6676041666666667,0.4773470163345337,0.5031394958496094,0.6061582565307617,0.3098151385784149,0.22791458666324615,0.020252883434295654,0.006382117047905922
10,0.786617636680603,0.728234375,0.7513437499999999,0.705125,0.3813372254371643,0.3967033624649048,0.5460454225540161,0.28257298469543457,0.1868763118982315,0.048279114067554474,0.012535552494227886
15,0.6494982838630676,0.7499218750000001,0.76453125,0.7353125,0.3125324547290802,0.32244065403938293,0.45293280482292175,0.25187042355537415,0.164878249168396,0.04203391075134277,0.012638069689273834
20,0.5291951298713684,0.7622164351851852,0.7812106481481481,0.7432222222222222,0.2515428364276886,0.24966788291931152,0.37583696842193604,0.24785885214805603,0.14453528821468353,0.04751116782426834,0.012770856730639935
25,0.431445837020874,0.7745873842592592,0.7947303240740741,0.7544444444444444,0.20331278443336487,0.19298142194747925,0.3060309886932373,0.23636840283870697,0.13119558990001678,0.046471599489450455,0.012120798230171204
30,0.3496176600456238,0.7811718750000001,0.8036770833333334,0.7586666666666666,0.15846921503543854,0.14722028374671936,0.2619357407093048,0.2219599187374115,0.12506917119026184,0.04143841564655304,0.011070220731198788
35,0.2843051850795746,0.7755005787037037,0.8068900462962963,0.7441111111111112,0.12687444686889648,0.1124216765165329,0.20915961265563965,0.21189752221107483,0.11430246382951736,0.03739738091826439,0.009666003286838531
40,0.231649249792099,0.7794947916666666,0.8099895833333332,0.749,0.09923100471496582,0.08492013812065125,0.17366179823875427,0.2041873186826706,0.10609754920005798,0.032214414328336716,0.007986558601260185
45,0.19060710072517395,0.7749027777777777,0.809138888888889,0.7406666666666666,0.07709620893001556,0.06594076007604599,0.14466187357902527,0.19700688123703003,0.09882672131061554,0.025984026491642,0.006542859598994255
50,0.15894585847854614,0.7827760416666667,0.81621875,0.7493333333333333,0.062028225511312485,0.05225249007344246,0.1164999008178711,0.1865149289369583,0.09126116335391998,0.02172035723924637,0.005395474843680859
55,0.1339818835258484,0.7852482638888889,0.8154965277777778,0.755,0.04973412677645683,0.04248586297035217,0.09574201703071594,0.17762278020381927,0.08283933252096176,0.01765860989689827,0.004568074829876423
60,0.11342430114746094,0.79,0.8176666666666668,0.7623333333333333,0.039943594485521317,0.034217048436403275,0.07909423112869263,0.16773292422294617,0.07625791430473328,0.014359298162162304,0.004146059043705463
65,0.09725548326969147,0.7855266203703704,0.8179421296296296,0.7531111111111111,0.03180759400129318,0.02822522260248661,0.06738138198852539,0.1602228432893753,0.06971004605293274,0.011073864996433258,0.003558540716767311
70,0.08616602420806885,0.7904843749999999,0.8179687499999999,0.763,0.028171861544251442,0.024187471717596054,0.05276278033852577,0.15347114205360413,0.06459374725818634,0.010562119074165821,0.003831973299384117
75,0.07993979752063751,0.7870989583333332,0.8155312499999999,0.7586666666666666,0.02526649460196495,0.021514197811484337,0.052719440311193466,0.1456778347492218,0.05923110246658325,0.009497983381152153,0.003220750717446208
80,0.06970605999231339,0.7864496527777778,0.8165659722222222,0.7563333333333334,0.021347463130950928,0.018569640815258026,0.03997175768017769,0.1392764449119568,0.05459577962756157,0.008069229312241077,0.003959988243877888
85,0.061334822326898575,0.7863408564814814,0.8172372685185185,0.7554444444444444,0.016476962715387344,0.01611439883708954,0.03868692368268967,0.13032424449920654,0.05053529515862465,0.005219883751124144,0.0029065085109323263
90,0.056079551577568054,0.7874496527777779,0.8175659722222223,0.7573333333333334,0.015129616484045982,0.01451736781746149,0.03191952034831047,0.1249115914106369,0.046497542411088943,0.0058150035329163074,0.0031389552168548107
