EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.5377625069136404,0.6960253555967841,0.6904161255411255,0.6112467532467533
2,0.26787201431985513,0.7729392779839208,0.7719109848484847,0.711090909090909
4,0.18098984243354732,0.7768650278293135,0.7798133116883118,0.7061298701298702
6,0.1412150916166422,0.7887443181818182,0.7882802128427128,0.7243896103896104
8,0.11397941123681202,0.7581285173160173,0.7884086399711401,0.6864935064935065
10,0.0894866997460455,0.7821789965986394,0.7995109126984127,0.7108571428571429
12,0.0846417212229261,0.7844012317048032,0.8035911495911495,0.6973246753246753
14,0.0720282191449601,0.772930851886209,0.79232693001443,0.7047532467532468
16,0.06810761241806924,0.7848009302205731,0.7936691618566619,0.7155844155844155
18,0.058579429620649756,0.788465110286539,0.8056245791245792,0.6996363636363636
20,0.05593454114807192,0.7797795686456401,0.7959472402597404,0.7055584415584416
22,0.04714176030375245,0.7904967661306948,0.807631703944204,0.7192207792207792
24,0.04769307878257817,0.7877692099567098,0.8098554292929293,0.7030909090909091
26,0.04552983878446477,0.775024814471243,0.7934945887445889,0.6984675324675325
28,0.04110347059837669,0.7818742656153371,0.8056705447330447,0.691064935064935
30,0.03901979500810755,0.7922697124304268,0.8137763347763348,0.7053246753246754
32,0.03654226359590006,0.7936705705009277,0.8104665404040405,0.715090909090909
34,0.03221738194878041,0.7939816790352505,0.8122781385281387,0.7171688311688312
36,0.030694465672123514,0.7970280225726654,0.8090430194805197,0.7188831168831169
38,0.027530534498763467,0.800412376314162,0.8124438131313131,0.7234545454545455
40,0.029559852678705176,0.7853557127396413,0.8050202922077921,0.7072467532467532
42,0.02552948499468353,0.7913137110904969,0.8070505351130352,0.7042337662337662
44,0.020248721900902274,0.7912924783549784,0.8091223845598846,0.712025974025974
46,0.022375385292387123,0.787905303030303,0.8040862193362194,0.7093506493506494
48,0.020857535906213916,0.7920769686662543,0.8103246151996152,0.7047532467532468
50,0.018540518746130455,0.7850595366934653,0.8108692580567581,0.6938961038961039
52,0.017996067079822518,0.7754512987012987,0.7926026334776335,0.7055324675324676
54,0.016250000056609485,0.8001459492888064,0.8180584415584414,0.7213506493506493
56,0.01333917792540089,0.7955548469387755,0.8120704365079364,0.7097142857142857
58,0.014126485307134675,0.7943700525664812,0.8109985569985572,0.7093246753246754
