EPOCH,LOSS,GROUP_DRO,CHANNEL_KL,SELECTION
0,0.7591149210929871,0.6821647882461548,0.005386051721870899,0.49377125850340137
5,0.6103498339653015,0.4848518371582031,0.007088290527462959,0.5303826530612245
10,0.5886276960372925,0.46201640367507935,0.007747496012598276,0.5520195578231293
15,0.5676294565200806,0.4423793852329254,0.0105476975440979,0.5555399659863944
20,0.5394819974899292,0.4172343313694,0.01610288955271244,0.5650552721088435
25,0.5080286264419556,0.3873605728149414,0.022982392460107803,0.5818239795918367
30,0.46416082978248596,0.34121084213256836,0.03262501582503319,0.6027210884353742
35,0.41737833619117737,0.29281988739967346,0.042529068887233734,0.6202933673469387
40,0.3678338825702667,0.2413501739501953,0.055212296545505524,0.6323979591836735
45,0.3234526813030243,0.19429807364940643,0.06798627227544785,0.6405739795918367
50,0.2920030951499939,0.15812216699123383,0.07933404296636581,0.6531675170068026
55,0.2516322731971741,0.1180599257349968,0.08406702429056168,0.665017006802721
60,0.2272474318742752,0.09030380100011826,0.09262372553348541,0.6553698979591835
65,0.20600192248821259,0.07446517795324326,0.087445467710495,0.6782865646258505
70,0.20629245042800903,0.07452497631311417,0.09243344515562057,0.6719047619047618
75,0.22494056820869446,0.08172187954187393,0.0975210890173912,0.6833588435374149
80,0.35941895842552185,0.2465905249118805,0.09837884455919266,0.6841624149659864
85,0.32078978419303894,0.1832476705312729,0.09904572367668152,0.6748639455782313
90,0.3355463743209839,0.19743013381958008,0.09507054835557938,0.6674107142857142
95,0.3178776204586029,0.17408685386180878,0.11067221313714981,0.6676658163265305
100,0.31532713770866394,0.18339844048023224,0.08877842873334885,0.6715901360544217
105,0.28986865282058716,0.15153323113918304,0.08784008771181107,0.6745068027210884
110,0.2607208490371704,0.12335987389087677,0.09330040961503983,0.6656335034013605
115,0.25689563155174255,0.11934852600097656,0.0878014862537384,0.6805102040816327
120,0.24786688387393951,0.10790939629077911,0.0895596295595169,0.6643027210884354
125,0.23122303187847137,0.0982481986284256,0.09504546225070953,0.6584268707482994
130,0.22624820470809937,0.09341897815465927,0.09263482689857483,0.6654251700680271
