CHANNEL,VOICE_EER,SPARSE_FAKE_EER
clean,0.20833333333333337,0.25
g711_ulaw,0.1909722222222222,0.33333333333333337
g722_wb,0.1909722222222222,0.29166666666666663
opus_nb_8k,0.26736111111111105,0.33333333333333337
transcode_g711_opus,0.33333333333333337,0.41666666666666663
