DATASET,CANDIDATE,ADS_DELTA_MEAN,ADS_DELTA_P025,ADS_DELTA_P975,P_IMPROVES
factorial,fixed_moe_020,0.010930285714285714,0.0017142857142857055,0.020571428571428577,0.986
factorial,mixed_router_030_050,0.013057714285714287,0.00212142857142857,0.023999999999999987,0.984
factorial,confidence_hard,0.017352,0.004285714285714287,0.029592857142857122,0.998
phone,fixed_moe_020,0.009891000000000002,0.0037500000000000094,0.015749999999999997,1.0
phone,mixed_router_030_050,0.009367499999999999,0.0026250000000000084,0.015571874999999992,0.992
phone,confidence_hard,0.007382250000000001,0.0,0.013874999999999995,0.97
yue,fixed_moe_020,0.010775806451612902,-0.004838709677419351,0.029032258064516134,0.89
yue,mixed_router_030_050,0.011196774193548387,-0.0048387096774193585,0.029032258064516134,0.872
yue,confidence_hard,0.016843548387096775,-0.007258064516129026,0.036290322580645164,0.916
