column,value,rows,v83,v101,replace_prompt_w50,v83_artifact,v101_artifact,replace_prompt_w50_artifact
DATASET,codec_mixed_dev_v4,600,0.21333333333333337,0.20333333333333337,0.24333333333333332,0.21333333333333337,0.20999999999999996,0.24333333333333332
DATASET,echoes_fma_paired_v3,111,0.09009740259740262,0.07207792207792209,0.05405844155844157,0.09009740259740262,0.05405844155844157,0.05405844155844157
DATASET,external_mixed_v1,400,0.14,0.13,0.13,0.14,0.13,0.13
DATASET,external_mixed_v1_telephone_v1,400,0.15500000000000003,0.15500000000000003,0.14500000000000002,0.15500000000000003,0.15500000000000003,0.14
DATASET,factorial_eval_1200_v2,350,0.18285714285714283,0.2114285714285714,0.16000000000000003,0.1885714285714286,0.2114285714285714,0.16000000000000003
DATASET,mixfake_music_dev_v1,1600,0.09624999999999997,0.06499999999999997,0.07250000000000001,0.09250000000000001,0.06625000000000002,0.07250000000000001
DATASET,source_disjoint_mixed_v1,200,0.07999999999999999,0.07999999999999999,0.06999999999999998,0.07999999999999999,0.07999999999999999,0.06999999999999998
DATASET,source_disjoint_mixed_v1_telephone_v1,200,0.15000000000000002,0.13,0.16000000000000003,0.15000000000000002,0.13,0.16000000000000003
DATASET,source_disjoint_music_v1,400,0.03500000000000002,0.03500000000000002,0.03500000000000002,0.03500000000000002,0.03500000000000002,0.03500000000000002
CHANNEL,clean,120,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665
CHANNEL,clean_flac,58,0.24166666666666664,0.25833333333333336,0.24166666666666664,0.24166666666666664,0.25833333333333336,0.24166666666666664
CHANNEL,g711_ulaw,120,0.11666666666666668,0.08333333333333334,0.1333333333333333,0.11666666666666668,0.08333333333333334,0.1333333333333333
CHANNEL,g722_wb,120,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.06666666666666665,0.08333333333333334,0.08333333333333334
CHANNEL,missing,3311,0.1135608681057256,0.09906373600712232,0.0936273114701461,0.11235277376417532,0.09785564166557204,0.0942313586409212
CHANNEL,mp3_64k,59,0.20344827586206893,0.13563218390804596,0.16954022988505746,0.20344827586206893,0.13563218390804596,0.16954022988505746
CHANNEL,noisy_flac,58,0.10357142857142855,0.10357142857142855,0.06904761904761902,0.10357142857142855,0.10357142857142855,0.06904761904761902
CHANNEL,ogg_48k,58,0.10357142857142855,0.1380952380952381,0.10357142857142855,0.10357142857142855,0.1380952380952381,0.10357142857142855
CHANNEL,opus_nb_8k,120,0.2833333333333333,0.30000000000000004,0.30000000000000004,0.2833333333333333,0.30000000000000004,0.30000000000000004
CHANNEL,stereo_wav,58,0.20714285714285716,0.17261904761904762,0.17261904761904762,0.24166666666666667,0.20714285714285716,0.17261904761904762
CHANNEL,telephone_flac,59,0.16993087557603687,0.16993087557603687,0.16993087557603687,0.16993087557603687,0.18605990783410142,0.16993087557603687
CHANNEL,transcode_g711_opus,120,0.33333333333333337,0.2833333333333333,0.31666666666666665,0.33333333333333337,0.2833333333333333,0.31666666666666665
MIX_MODE,concurrent,300,0.21333333333333337,0.20666666666666667,0.21999999999999997,0.21333333333333337,0.21333333333333337,0.21999999999999997
MIX_MODE,missing,3311,0.1135608681057256,0.09906373600712232,0.0936273114701461,0.11235277376417532,0.09785564166557204,0.0942313586409212
MIX_MODE,music_only,50,0.12,0.12,0.07999999999999999,0.12,0.12,0.07999999999999999
MIX_MODE,partial_overlap,300,0.2333333333333333,0.22666666666666668,0.26,0.22666666666666668,0.2333333333333333,0.26
MIX_MODE,sequential,300,0.21333333333333337,0.20666666666666667,0.21999999999999997,0.21333333333333337,0.21333333333333337,0.21999999999999997
COMPONENT_CASE,missing,3311,0.1135608681057256,0.09906373600712232,0.0936273114701461,0.11235277376417532,0.09785564166557204,0.0942313586409212
