DATASET,METHOD,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,v46,400,400,350,350,0.24,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.772,0.9958571428571428,0.7943857142857144
factorial,v47,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779
factorial,dev_selected,400,400,350,350,0.24763636363636365,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7681818181818182,0.9958571428571428,0.7909493506493507
phone,v46,1200,1200,800,800,0.19414285714285714,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8184285714285714,0.9703312500000001,0.8336188392857143
phone,v47,1200,1200,800,800,0.1782857142857143,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8263571428571429,0.9703312500000001,0.8407545535714287
phone,dev_selected,1200,1200,800,800,0.1917142857142857,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8196428571428571,0.9703312500000001,0.8347116964285715
yue,v46,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.849251548620851,,
yue,v47,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,
yue,dev_selected,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,
