MODEL,L2,EER_OVERALL,EER_VOICE_ONLY,EER_MUSIC_ONLY,EER_CONCURRENT_VFMR,EER_CONCURRENT_VRMF,EER_CONCURRENT_VFMF,EER_PARTIAL_OVERLAP_VFMR,EER_PARTIAL_OVERLAP_VRMF,EER_PARTIAL_OVERLAP_VFMF,EER_SEQUENTIAL_VFMR,EER_SEQUENTIAL_VRMF,EER_SEQUENTIAL_VFMF,TARGET_DELTA,OVERALL_DELTA,MAX_OTHER_DELTA,SUM_OTHER_DELTA,MEAN_CV_COEFFICIENTS
logit,0.0,0.23818181818181816,0.12,0.24,0.31999999999999995,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,-0.040000000000000036,0.0,0.07999999999999996,-0.1600000000000001,"[0.36252598, 0.21483436, 0.33098564, 0.60877708]"
logit,0.0001,0.23818181818181816,0.12,0.24,0.31999999999999995,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,-0.040000000000000036,0.0,0.07999999999999996,-0.1600000000000001,"[0.36246167, 0.21481612, 0.33094224, 0.60878803]"
logit,0.001,0.23818181818181816,0.12,0.24,0.31999999999999995,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,-0.040000000000000036,0.0,0.07999999999999996,-0.1600000000000001,"[0.36188542, 0.21465179, 0.33055191, 0.60888538]"
logit,0.01,0.23818181818181816,0.12,0.24,0.31999999999999995,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,-0.040000000000000036,0.0,0.07999999999999996,-0.1600000000000001,"[0.35635363, 0.21300289, 0.32668536, 0.60977936]"
logit,0.1,0.23236363636363638,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,0.0,-0.005818181818181778,0.07999999999999996,-0.1600000000000001,"[0.31507678, 0.19760269, 0.29280735, 0.61476224]"
logit,1.0,0.23818181818181816,0.12,0.24,0.36,0.31999999999999995,0.24,0.31999999999999995,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,0.0,0.0,0.03999999999999995,-0.16000000000000014,"[0.17736047, 0.12567961, 0.15890696, 0.64101473]"
logit_presence,0.0,0.24,0.16000000000000003,0.19999999999999998,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.12000000000000006,"[0.33810955, 0.22191285, 0.35020724, 2.76320259, 2.60912087, -2.90155626, -1.75640438]"
logit_presence,0.0001,0.24181818181818182,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,0.0,0.0036363636363636598,0.07999999999999996,-0.12000000000000009,"[0.33200494, 0.22112581, 0.35215028, 1.30768535, 1.26078927, -1.213294, -0.58480368]"
logit_presence,0.001,0.24,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.12000000000000009,"[0.32947632, 0.22027916, 0.35209183, 0.2862158, 0.31246834, -0.04612604, 0.24555425]"
logit_presence,0.01,0.24,0.12,0.24,0.31999999999999995,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,-0.040000000000000036,0.0018181818181818299,0.07999999999999996,-0.1600000000000001,"[0.3346916, 0.21634712, 0.34028032, 0.08453303, 0.10451038, 0.09929225, 0.4530619]"
logit_presence,0.1,0.24,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.1600000000000001,"[0.31056164, 0.19801522, 0.2950505, 0.02583554, 0.0227386, 0.03524068, 0.56936223]"
logit_presence,1.0,0.24,0.12,0.24,0.36,0.31999999999999995,0.24,0.31999999999999995,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.03999999999999995,-0.16000000000000014,"[0.17698254, 0.12563682, 0.1589593, 0.00770005, 0.00407739, 0.0096749, 0.62909294]"
logit_monotone_mixed_interaction,0.0,0.24,0.16000000000000003,0.19999999999999998,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.12000000000000006,"[0.33858426, 0.21777926, 0.34993585, 0.01258897, 0.0, 2.73695099, 2.59346629, -2.87847774, -1.74063079]"
logit_monotone_mixed_interaction,0.0001,0.24181818181818182,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,0.0,0.0036363636363636598,0.07999999999999996,-0.12000000000000009,"[0.33258068, 0.21614843, 0.35185427, 0.01515147, 0.0, 1.27191171, 1.23818014, -1.18145264, -0.56203978]"
logit_monotone_mixed_interaction,0.001,0.24,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.24,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.12000000000000009,"[0.33005938, 0.21502784, 0.35175734, 0.01618595, 0.0, 0.27851833, 0.3153942, -0.0462577, 0.24564426]"
logit_monotone_mixed_interaction,0.01,0.24,0.12,0.24,0.31999999999999995,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,-0.040000000000000036,0.0018181818181818299,0.07999999999999996,-0.1600000000000001,"[0.33474044, 0.21219088, 0.34009208, 0.01364509, 0.0, 0.08136505, 0.10675252, 0.09879932, 0.45151731]"
logit_monotone_mixed_interaction,0.1,0.24,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.1600000000000001,"[0.31017599, 0.1914631, 0.28530898, 0.02462972, 0.02643269, 0.02638675, 0.02338554, 0.03629133, 0.56626081]"
logit_monotone_mixed_interaction,1.0,0.24,0.12,0.24,0.36,0.31999999999999995,0.24,0.36,0.24,0.16000000000000003,0.19999999999999998,0.16000000000000003,0.0,0.0,0.0018181818181818299,0.07999999999999996,-0.12000000000000009,"[0.17298868, 0.12132958, 0.15063278, 0.03334958, 0.0501078, 0.00780832, 0.00414788, 0.00983136, 0.63118385]"
probability_presence,0.0,0.24,0.12,0.24,0.36,0.31999999999999995,0.16000000000000003,0.4,0.24,0.19999999999999998,0.31999999999999995,0.16000000000000003,0.04000000000000002,0.0,0.0018181818181818299,0.15999999999999992,0.039999999999999925,"[1.12767475, 2.05862218, 3.70014289, 1.28553329, 1.52382697, -0.77898991, -4.31941888]"
probability_presence,0.0001,0.23236363636363638,0.12,0.24,0.36,0.31999999999999995,0.16000000000000003,0.36,0.24,0.19999999999999998,0.31999999999999995,0.16000000000000003,0.04000000000000002,0.0,-0.005818181818181778,0.15999999999999992,-1.1102230246251565e-16,"[1.14560172, 2.01762474, 3.63686427, 0.72246126, 0.99276222, -0.14081712, -3.81667299]"
probability_presence,0.001,0.24,0.12,0.24,0.36,0.31999999999999995,0.19999999999999998,0.36,0.24,0.19999999999999998,0.31999999999999995,0.12,0.04000000000000002,0.0,0.0018181818181818299,0.15999999999999992,-1.942890293094024e-16,"[1.38163703, 1.74003414, 3.14137807, 0.22255674, 0.48545625, 0.29476698, -3.10394562]"
probability_presence,0.01,0.23236363636363638,0.12,0.28,0.36,0.36,0.19999999999999998,0.31999999999999995,0.24,0.19999999999999998,0.28,0.16000000000000003,0.0,0.0,-0.005818181818181778,0.12,-6.938893903907228e-17,"[1.43267031, 1.04407591, 1.74121778, 0.14054755, 0.19115603, 0.24925115, -1.87291525]"
probability_presence,0.1,0.23236363636363638,0.12,0.24,0.36,0.36,0.24,0.28,0.24,0.19999999999999998,0.24,0.16000000000000003,0.04000000000000002,0.0,-0.005818181818181778,0.07999999999999996,-0.040000000000000036,"[0.50437648, 0.32284861, 0.46594548, 0.09502886, 0.05241925, 0.12543335, -0.12083627]"
probability_presence,1.0,0.23236363636363638,0.12,0.24,0.36,0.36,0.28,0.28,0.24,0.19999999999999998,0.24,0.16000000000000003,0.04000000000000002,0.0,-0.005818181818181778,0.07999999999999996,0.0,"[0.06752166, 0.04271845, 0.05948029, 0.01504043, 0.00744366, 0.01930395, 0.66342]"
