DATASET,METHOD,SELECTION_BASIS,VOICE_WEIGHT,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA,FILE_EER_DELTA,VOICE_EER_DELTA
factorial,v47,baseline,0.0,0.0,400,400,350,350,0.2323636363636363,0.2228571428571428,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,v47,baseline,0.0,0.0,1200,1200,800,800,0.1782857142857143,0.1674999999999999,0.17,0.956603125,0.984059375,0.8263571428571429,0.97033125,0.8407545535714287,0.0,0.0,0.0
yue,v47,baseline,0.0,0.0,124,124,108,124,0.1222826086956521,0.1020833333333333,0.1774193548387096,0.9837962962962964,,0.8652162225338944,,,0.0,0.0,0.0
factorial,dev_selected,factorial_dev_only,0.05,0.0,400,400,350,350,0.2323636363636363,0.2171428571428571,0.2114285714285714,0.9928,0.9989142857142856,0.776961038961039,0.9958571428571428,0.7988506493506493,0.0011428571428571,0.0,-0.0057142857142856
phone,dev_selected,factorial_dev_only,0.05,0.0,1200,1200,800,800,0.1782857142857143,0.16,0.17,0.956603125,0.984059375,0.8278571428571428,0.97033125,0.8421045535714287,0.0014999999999999,0.0,-0.0074999999999999
yue,dev_selected,factorial_dev_only,0.05,0.0,124,124,108,124,0.1222826086956521,0.0833333333333333,0.1774193548387096,0.9837962962962964,,0.8689662225338943,,,0.0037499999999999,0.0,-0.0187499999999999
factorial,prior_locked_selected,invalid_locked_selection,0.075,0.01,400,400,350,350,0.2323636363636363,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7781038961038961,0.9958571428571428,0.7998792207792208,0.0022857142857142,0.0,-0.0114285714285714
phone,prior_locked_selected,invalid_locked_selection,0.075,0.01,1200,1200,800,800,0.1758571428571428,0.16,0.17,0.956603125,0.984059375,0.8290714285714286,0.97033125,0.8431974107142858,0.0027142857142856,-0.0024285714285714,-0.0074999999999999
yue,prior_locked_selected,invalid_locked_selection,0.075,0.01,124,124,108,124,0.1222826086956521,0.0833333333333333,0.1774193548387096,0.9837962962962964,,0.8689662225338943,,,0.0037499999999999,0.0,-0.0187499999999999
