DATASET,ROWS,MUSIC_EER
factorial_eval_1200_v2,1050,0.4
multigen_music_v2,480,0.5916666666666667
phone_factorial_1200_v1,800,0.39
source_disjoint_music_v1,400,0.5800000000000001
suno_vocals_v1,13,
temporal_mixed_train_v2,3200,0.271875
yue_cross_component_audit_v1,124,0.7419354838709677
