EPOCH,LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER,LOSS_FILE,LOSS_LOCAL_FAKE,LOSS_PRESENCE,LOSS_CONSISTENCY
0,1.205674409866333,0.592470238095238,0.36818452380952377,0.446875,0.7006029486656189,0.7192240357398987,0.7230433225631714,0.017015475779771805
5,1.04649817943573,0.6932589285714286,0.26723214285714286,0.34624999999999995,0.6082968711853027,0.6393673419952393,0.5793129801750183,0.05309987813234329
10,0.9894059896469116,0.7243154761904762,0.23470238095238094,0.31666666666666665,0.5661656260490417,0.6173123121261597,0.5462843775749207,0.10654646903276443
15,0.9539353847503662,0.7349702380952381,0.2267261904761905,0.30333333333333334,0.5418483018875122,0.601133406162262,0.5256750583648682,0.1277075707912445
20,0.9279317855834961,0.7426339285714285,0.21473214285714287,0.30000000000000004,0.523742139339447,0.5907965898513794,0.509166419506073,0.13916189968585968
25,0.909622073173523,0.7487946428571428,0.21241071428571429,0.29000000000000004,0.5119967460632324,0.5822445154190063,0.4965084195137024,0.14402754604816437
30,0.894921064376831,0.7548065476190476,0.20372023809523807,0.2866666666666666,0.5031536221504211,0.5743131041526794,0.4861232340335846,0.14772531390190125
35,0.882996678352356,0.7548958333333333,0.20354166666666668,0.2866666666666666,0.4952406883239746,0.5694569945335388,0.4773683249950409,0.15107691287994385
40,0.8731054663658142,0.7565029761904762,0.20032738095238095,0.2866666666666666,0.4884530007839203,0.5662009119987488,0.4695134460926056,0.15298645198345184
45,0.8642988204956055,0.7599553571428571,0.20008928571428572,0.28,0.48298484086990356,0.5623325705528259,0.4623488485813141,0.15355947613716125
50,0.856866717338562,0.7616964285714285,0.19660714285714284,0.28,0.47842884063720703,0.5588420629501343,0.4559902250766754,0.15637634694576263
55,0.8502503633499146,0.7617857142857143,0.19642857142857142,0.28,0.47420093417167664,0.5560850501060486,0.4500575065612793,0.15990854799747467
60,0.8442440032958984,0.7633779761904762,0.19657738095238095,0.2766666666666666,0.47029533982276917,0.5538042187690735,0.44450172781944275,0.16292406618595123
65,0.8389286398887634,0.765327380952381,0.19601190476190475,0.2733333333333333,0.46689748764038086,0.5519284605979919,0.4392744302749634,0.16424024105072021
