EPOCH,LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER,LOSS_FILE,LOSS_LOCAL_FAKE,LOSS_PRESENCE,LOSS_CONSISTENCY
0,1.2047046422958374,0.587202380952381,0.36934523809523806,0.45625000000000004,0.7004839777946472,0.7192240357398987,0.7230433225631714,0.0
5,1.04214346408844,0.6913392857142857,0.26607142857142857,0.35124999999999995,0.6064165830612183,0.6397286057472229,0.5793129801750183,0.0
10,0.9820963144302368,0.7201339285714285,0.23723214285714284,0.3225,0.5634914636611938,0.6186960339546204,0.5462843775749207,0.0
15,0.9452314972877502,0.7317261904761905,0.22654761904761908,0.31000000000000005,0.5383385419845581,0.6035158038139343,0.5256750583648682,0.0
20,0.917950451374054,0.743735119047619,0.21586309523809527,0.29666666666666663,0.5195838212966919,0.5930666923522949,0.509166419506073,0.0
25,0.8986988067626953,0.7507738095238096,0.20970238095238095,0.28874999999999995,0.5073028802871704,0.5841884016990662,0.4965084195137024,0.0
30,0.8831771016120911,0.7519196428571429,0.2061607142857143,0.29000000000000004,0.4978812038898468,0.5761424899101257,0.4861232340335846,0.0
35,0.8706066012382507,0.7551190476190477,0.20309523809523808,0.2866666666666666,0.4895428717136383,0.5711801648139954,0.4773683249950409,0.0
40,0.8602839708328247,0.7592857142857142,0.20142857142857146,0.28,0.48262155055999756,0.5675194263458252,0.4695134460926056,0.0
45,0.8510556221008301,0.7604017857142857,0.19919642857142858,0.28,0.47671082615852356,0.5637500882148743,0.4623488485813141,0.0
50,0.843254804611206,0.7608035714285715,0.19839285714285712,0.28,0.471701443195343,0.5607106685638428,0.4559902250766754,0.0
55,0.8362593054771423,0.7664434523809525,0.1937797619047619,0.2733333333333333,0.4671597182750702,0.5581762194633484,0.4500575065612793,0.0
60,0.8298770189285278,0.766532738095238,0.19360119047619045,0.2733333333333333,0.4631638526916504,0.5556256771087646,0.44450172781944275,0.0
65,0.8242378234863281,0.7653869047619049,0.19255952380952376,0.2766666666666666,0.4596126675605774,0.5535406470298767,0.4392744302749634,0.0
70,0.8191084265708923,0.7662797619047619,0.19077380952380954,0.2766666666666666,0.4562557339668274,0.5519739389419556,0.4343286156654358,0.0
