MODEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
v47,360,360,0.21111111111111114,360,0.19999999999999998,360,0.3055555555555556,,,0.7627777777777778,,False,
v48,360,360,0.21296296296296297,360,0.19999999999999998,360,0.3055555555555556,,,0.7618518518518518,,False,
