DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial_eval_1200_v2_holdout,400,400,350,350,0.28,0.39428571428571424,0.24,,,0.7091428571428571,,
phone_factorial_1200_v1,1200,1200,800,800,0.19828571428571432,0.33999999999999997,0.08750000000000001,,,0.8066071428571429,,
yue_cross_component_audit_v1,124,124,108,124,0.25,0.48124999999999996,0.16129032258064513,,,0.7303629032258064,,
suno_vocals_v1,13,13,13,13,,,,,,,,
