DATASET,N,MUSIC_EER
factorial_eval_1200_v2_holdout,350,0.3085714285714286
phone_factorial_1200_v1,800,0.23250000000000004
yue_cross_component_audit_v1,124,0.29032258064516125
suno_vocals_v1,13,
