EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_EER,WORST_EER
0,0.7176708579063416,0.7069839835166931,0.10686902701854706,0.5383886054421769,0.4260799319727891,0.4971428571428571
5,0.612535834312439,0.6019873023033142,0.10548525303602219,0.6198299319727891,0.354625850340136,0.4057142857142857
10,0.5712699890136719,0.5565484166145325,0.14721554517745972,0.6425552721088434,0.33774659863945583,0.3771428571428571
15,0.5270013809204102,0.5000292658805847,0.2697208821773529,0.6514285714285715,0.3271428571428571,0.37
20,0.4820089638233185,0.45051032304763794,0.31498652696609497,0.6739880952380952,0.2920238095238095,0.36
25,0.4350054860115051,0.3986450135707855,0.3636045753955841,0.6774022108843537,0.2909098639455782,0.3542857142857143
30,0.3912895917892456,0.3532348871231079,0.38054710626602173,0.702015306122449,0.26596938775510204,0.32999999999999996
35,0.34813156723976135,0.30740654468536377,0.4072501063346863,0.706968537414966,0.25939625850340137,0.32666666666666666
40,0.32146504521369934,0.2761964201927185,0.4526863396167755,0.6980994897959184,0.2638010204081632,0.33999999999999997
45,0.27793827652931213,0.23612158000469208,0.4181669056415558,0.7027593537414966,0.25781462585034015,0.33666666666666667
50,0.25496551394462585,0.21132080256938934,0.4364471733570099,0.7048852040816327,0.2502295918367347,0.33999999999999997
55,0.2333362102508545,0.18838170170783997,0.44954511523246765,0.7150340136054422,0.24659863945578234,0.32333333333333336
60,0.2029370367527008,0.16037152707576752,0.4256550967693329,0.7200170068027211,0.24329931972789118,0.31666666666666665
65,0.18684957921504974,0.14411194622516632,0.42737632989883423,0.7123554421768707,0.24195578231292522,0.33333333333333337
70,0.1789538860321045,0.13393595814704895,0.4501793384552002,0.7092219387755103,0.24155612244897956,0.33999999999999997
75,0.16321632266044617,0.11757262051105499,0.45643705129623413,0.7134183673469388,0.24316326530612248,0.32999999999999996
80,0.1514453887939453,0.1062893196940422,0.4515606164932251,0.7192729591836735,0.241454081632653,0.31999999999999995
85,0.14744833111763,0.10022804886102676,0.472202867269516,0.7188137755102042,0.24237244897959181,0.31999999999999995
90,0.13680101931095123,0.08898188918828964,0.4781912565231323,0.7139540816326531,0.24209183673469387,0.32999999999999996
95,0.13293614983558655,0.08418148010969162,0.4875466525554657,0.7216326530612245,0.236734693877551,0.31999999999999995
100,0.12318958342075348,0.07619970291852951,0.4698987901210785,0.7237457482993197,0.2391751700680272,0.31333333333333335
105,0.12111209332942963,0.07040321826934814,0.5070887804031372,0.7195068027210885,0.24431972789115647,0.31666666666666665
110,0.11583425104618073,0.06711222976446152,0.48722022771835327,0.7201530612244899,0.23969387755102037,0.31999999999999995
115,0.11934654414653778,0.06594951450824738,0.5339702367782593,0.7174447278911564,0.2417772108843537,0.32333333333333336
120,0.11031294614076614,0.06031015142798424,0.5000279545783997,0.729766156462585,0.23713435374149658,0.30333333333333334
125,0.10554316639900208,0.056243445724248886,0.4929971992969513,0.7231972789115646,0.24027210884353747,0.31333333333333335
130,0.10420471429824829,0.0541677251458168,0.5003698468208313,0.7159906462585034,0.24230442176870745,0.32571428571428573
135,0.10847750306129456,0.05392873287200928,0.545487642288208,0.7178996598639455,0.2475340136054422,0.31666666666666665
140,0.10078028589487076,0.050078559666872025,0.5070172548294067,0.7167304421768708,0.24320578231292517,0.32333333333333336
145,0.09931807219982147,0.04953427240252495,0.49783799052238464,0.7146641156462585,0.24733843537414968,0.32333333333333336
150,0.09827470779418945,0.04726815223693848,0.5100655555725098,0.7148979591836735,0.24020408163265308,0.32999999999999996
155,0.09864746034145355,0.04714706167578697,0.5150039792060852,0.722389455782313,0.23855442176870745,0.31666666666666665
160,0.09895069897174835,0.0458405502140522,0.5311015248298645,0.7174574829931972,0.2417517006802721,0.32333333333333336
165,0.09987461566925049,0.04649641737341881,0.5337819457054138,0.7201147959183674,0.2397704081632653,0.31999999999999995
170,0.0949954241514206,0.04416971281170845,0.5082570910453796,0.7222874149659864,0.23875850340136057,0.31666666666666665
175,0.08878997713327408,0.04096124321222305,0.47828733921051025,0.719766156462585,0.23713435374149658,0.32333333333333336
180,0.08951015025377274,0.04121251031756401,0.48297640681266785,0.7256972789115645,0.2400340136054422,0.3085714285714286
185,0.08638463914394379,0.039395976811647415,0.46988657116889954,0.7220450680272109,0.24162414965986395,0.3142857142857143
190,0.08536159247159958,0.03842046484351158,0.46941128373146057,0.7209651360544218,0.24473639455782317,0.31333333333333335
195,0.08744485676288605,0.03821408748626709,0.4923076629638672,0.7248341836734693,0.2403316326530613,0.31000000000000005
200,0.08350114524364471,0.03703515604138374,0.4646598696708679,0.7201147959183674,0.2397704081632653,0.31999999999999995
205,0.08297643065452576,0.03597569465637207,0.47000738978385925,0.72203231292517,0.2392687074829932,0.31666666666666665
210,0.08279553055763245,0.03649704530835152,0.4629848897457123,0.7187457482993198,0.2391751700680272,0.32333333333333336
215,0.08078892529010773,0.03514454513788223,0.45644375681877136,0.7159651360544217,0.24473639455782312,0.32333333333333336
