EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS,LOSS_COMPONENT,LOSS_FILE,LOSS_LOCAL,LOSS_PRESENCE,LOSS_GLOBAL_PRESENCE
0,1.433293342590332,0.5845625000000001,0.6378750000000001,0.53125,0.7189995050430298,0.7014620900154114,0.7144119739532471,0.63658207654953,0.5964839458465576
5,1.1263368129730225,0.6731215277777778,0.7072847222222222,0.6389583333333333,0.5534157752990723,0.5915985703468323,0.6609776020050049,0.40463027358055115,0.3412189483642578
10,1.0273112058639526,0.700226851851852,0.7354537037037038,0.665,0.5003626942634583,0.5400758981704712,0.645203709602356,0.3497697710990906,0.2876279950141907
15,0.9536139965057373,0.7234340277777778,0.7504097222222222,0.6964583333333334,0.45788055658340454,0.4940105676651001,0.6473869681358337,0.3252582252025604,0.253950834274292
20,0.8948462009429932,0.7319739583333333,0.7578020833333334,0.7061458333333334,0.4232412874698639,0.4548005163669586,0.6559752225875854,0.3046894669532776,0.2300492823123932
25,0.842176079750061,0.7404288194444445,0.7686701388888889,0.7121875000000001,0.3936188220977783,0.4197762906551361,0.6532734036445618,0.2890101671218872,0.21332816779613495
30,0.7954294085502625,0.749517361111111,0.7777847222222222,0.72125,0.3664868474006653,0.38906723260879517,0.6527579426765442,0.2778967022895813,0.1968996226787567
35,0.7562078833580017,0.7557853009259259,0.7856331018518518,0.7259375,0.3448293209075928,0.36234891414642334,0.6495177745819092,0.2685340940952301,0.1836303174495697
40,0.7186129093170166,0.761734375,0.78940625,0.7340625,0.3233467936515808,0.33816957473754883,0.6448196172714233,0.2612786591053009,0.17189782857894897
45,0.6857221126556396,0.7737604166666667,0.8014791666666667,0.7460416666666667,0.3057278096675873,0.3171496093273163,0.6361722946166992,0.2537234425544739,0.16211949288845062
50,0.6553375124931335,0.77553125,0.8068958333333334,0.7441666666666666,0.28860265016555786,0.29916104674339294,0.6278344988822937,0.24782145023345947,0.15348294377326965
55,0.6281931400299072,0.7746440972222222,0.8052256944444444,0.7440625000000001,0.27415335178375244,0.28218933939933777,0.6189320087432861,0.24157468974590302,0.14650586247444153
60,0.6032232046127319,0.7816736111111111,0.8077222222222223,0.755625,0.26105451583862305,0.2663133144378662,0.6105316877365112,0.23630788922309875,0.13955260813236237
