epoch,loss,selection,mean_objective,worst_objective,seconds,clean_voice_eer,clean_music_eer,clean_file_eer,clean_ads,paired_fast_voice_eer,paired_fast_music_eer,paired_fast_file_eer,paired_fast_ads
-1,,0.7055217673465985,0.7289724216768478,0.66197055216185,0.0,0.06698029043172729,0.2040257088081544,0.0901463448955182,0.8803230568234491,0.116839507801208,0.33802944783815003,0.15583737892539692,0.7973045746256149
0,0.6287083507825931,0.739385404386811,0.7597412746043654,0.7015816454113528,2.1036205757409334,0.07361273693524367,0.18209909620262207,0.08595124182086819,0.8876721028417305,0.11448732956325325,0.2984183545886472,0.147447172776097,0.8138534413227068
1,0.6033569512267908,0.741035147179652,0.7609633063027661,0.7040257088081544,3.6888737063854933,0.07126055869728894,0.18209909620262207,0.08595124182086819,0.8881425384893216,0.116839507801208,0.2959742911918456,0.15164227585074697,0.8120186731568313
2,0.605101315304637,0.7401491741983115,0.7615743221519666,0.7003596137129521,5.2545617781579494,0.07126055869728894,0.17721096940901895,0.08595124182086819,0.8896089765274025,0.116839507801208,0.2996403862870479,0.15164227585074697,0.8109188446282706
3,0.6028118232885996,0.7405768852927517,0.7615743221519665,0.7015816454113528,6.845605123788118,0.07126055869728894,0.17843300110741972,0.08595124182086819,0.8892423670178822,0.11448732956325325,0.2984183545886472,0.15199992964187714,0.8115770628898167
4,0.5978047506262859,0.7402102757832316,0.7603522904535658,0.7028036771097537,8.389558429829776,0.07083647048694121,0.18209909620262207,0.0901463448955182,0.886129804594066,0.11063114950803937,0.2971963228902464,0.15164227585074697,0.8128937353059447
5,0.6015519170711437,0.7319698972362139,0.7545651293775826,0.6900073232593863,9.93774813786149,0.06698029043172729,0.18087706450422125,0.08595124182086819,0.889365201651954,0.11448732956325325,0.3099926767406137,0.15164227585074697,0.8082835931397918
6,0.5968087905397018,0.7421960772931329,0.7634073696995678,0.7028036771097537,11.51795133203268,0.07083647048694121,0.17598893771061813,0.0894310373132578,0.8883205059327974,0.116839507801208,0.2971963228902464,0.1512846220596168,0.8118308905428762
7,0.5919698849320412,0.7405463345002917,0.762185338001167,0.7003596137129521,13.054057544097304,0.06933246866968198,0.17598893771061813,0.08282910011960881,0.8919222748930737,0.11406324135290552,0.2996403862870479,0.14780482656722718,0.8133928225596909
8,0.5984089753280083,0.728312137558199,0.7512220316984007,0.6857651912978244,14.603386953473091,0.06890838045933426,0.1833211279010229,0.0866665494031286,0.8878887108362621,0.11448732956325325,0.31423480870217557,0.15092696826848662,0.8073686073424533
