ROUTE,MARGIN,FILE_WEIGHT,dev_DELTA,dev_FILE_EER,dev_ROUTE_RATE,factorial_DELTA,factorial_FILE_EER,factorial_ROUTE_RATE,phone_DELTA,phone_FILE_EER,phone_ROUTE_RATE,yue_DELTA,yue_FILE_EER,yue_ROUTE_RATE,MIN_DELTA,MEAN_DELTA,MEAN_ROUTE_RATE
global,0.0,0.5,0.007636363636363663,0.21709090909090906,1.0,0.008545454545454523,0.1981818181818182,1.0,0.005857142857142783,0.12242857142857144,1.0,0.013247282608695787,0.10122282608695654,1.0,0.005857142857142783,0.008821560911914189,1.0
global,0.0,0.6,0.008545454545454412,0.21527272727272728,1.0,0.006727272727272693,0.2018181818181818,1.0,0.004999999999999893,0.12414285714285717,1.0,0.013247282608695787,0.10122282608695654,1.0,0.004999999999999893,0.008380002470355696,1.0
voice_soft_t20,2.0,0.5,0.011454545454545384,0.20945454545454545,0.3545544271331266,0.0038181818181818317,0.20763636363636362,0.36070571289075387,0.006214285714285728,0.12171428571428572,0.4742799785259706,0.01596467391304346,0.09578804347826086,0.3593571544653798,0.0038181818181818317,0.0093629217250141,0.3872243182538077
voice_soft_t20,0.0,0.4,0.012363636363636354,0.20763636363636362,0.5296703760492945,0.0038181818181818317,0.20763636363636362,0.5365111424331938,0.004142857142857004,0.12585714285714283,0.5990071612742268,0.01596467391304346,0.09578804347826086,0.5344419977734538,0.0038181818181818317,0.009072337309429662,0.5499076693825422
voice_soft_t20,1.0,0.4,0.012363636363636354,0.20763636363636362,0.4404288825132117,0.0038181818181818317,0.20763636363636362,0.4477238920825199,0.004142857142857004,0.12585714285714283,0.5371416707994905,0.01596467391304346,0.09578804347826086,0.44465780161801954,0.0038181818181818317,0.009072337309429662,0.4674880617533104
voice_soft_t20,0.5,0.4,0.011454545454545384,0.20945454545454545,0.48494463394328263,0.0038181818181818317,0.20763636363636362,0.49220144393311627,0.004142857142857004,0.12585714285714283,0.5682556897476106,0.01596467391304346,0.09578804347826086,0.4892607687625947,0.0038181818181818317,0.00884506458215692,0.5086656340966511
voice_soft_t05,1.0,0.6,0.008545454545454412,0.21527272727272728,0.4094469371224173,0.0038181818181818317,0.20763636363636362,0.4389399277993106,0.006214285714285728,0.12171428571428572,0.5481444488752811,0.01596467391304346,0.09578804347826086,0.39335476080054294,0.0038181818181818317,0.008635648997741358,0.447471518649388
voice_dominant,0.5,0.5,0.007636363636363663,0.21709090909090906,0.485,0.0038181818181818317,0.20763636363636362,0.5175,0.007071428571428395,0.12,0.585,0.01596467391304346,0.09578804347826086,0.45161290322580644,0.0038181818181818317,0.008622661984754337,0.5097782258064516
voice_soft_t05,1.5,0.5,0.008545454545454412,0.21527272727272728,0.3441611147509164,0.0038181818181818317,0.20763636363636362,0.3712848002250359,0.004999999999999893,0.12414285714285717,0.5130196553065449,0.01596467391304346,0.09578804347826086,0.33664422827164886,0.0038181818181818317,0.008332077569169899,0.3912774496385365
voice_soft_t10,2.0,0.5,0.008545454545454412,0.21527272727272728,0.30822597817372915,0.0038181818181818317,0.20763636363636362,0.3241279135846976,0.004999999999999893,0.12414285714285717,0.47508607429614624,0.01596467391304346,0.09578804347826086,0.3124481755983741,0.0038181818181818317,0.008332077569169899,0.3549720354132368
