expert_weight,eer
0.0,0.30625
0.01,0.30000000000000004
0.02,0.30000000000000004
0.03,0.30000000000000004
0.04,0.30000000000000004
0.05,0.30000000000000004
0.06,0.30000000000000004
0.07,0.2875
0.08,0.2875
0.09,0.2875
0.1,0.2875
0.11,0.2875
0.12,0.29374999999999996
0.13,0.29374999999999996
0.14,0.29374999999999996
0.15,0.29374999999999996
0.16,0.2875
0.17,0.2875
0.18,0.2875
0.19,0.2875
0.2,0.2875
0.21,0.2875
0.22,0.2875
0.23,0.2875
0.24,0.2875
0.25,0.2875
0.26,0.2875
0.27,0.2875
0.28,0.2875
0.29,0.2875
0.3,0.2875
0.31,0.2875
0.32,0.2875
0.33,0.2875
0.34,0.2875
0.35000000000000003,0.2875
0.36,0.2875
0.37,0.28125
0.38,0.275
0.39,0.26875000000000004
0.4,0.26249999999999996
0.41000000000000003,0.26249999999999996
0.42,0.26249999999999996
0.43,0.26249999999999996
0.44,0.26249999999999996
0.45,0.25625
0.46,0.25
0.47000000000000003,0.25625
0.48,0.25625
0.49,0.25625
0.5,0.25625
0.51,0.25625
0.52,0.25625
0.53,0.25625
0.54,0.25625
0.55,0.25625
0.56,0.25625
0.5700000000000001,0.25625
0.58,0.25
0.59,0.25
0.6,0.25
0.61,0.25
0.62,0.25625
0.63,0.25
0.64,0.25625
0.65,0.26249999999999996
0.66,0.26249999999999996
0.67,0.26249999999999996
0.68,0.26249999999999996
0.6900000000000001,0.26249999999999996
0.7000000000000001,0.26249999999999996
0.71,0.26249999999999996
0.72,0.26249999999999996
0.73,0.26875000000000004
0.74,0.275
0.75,0.26875000000000004
0.76,0.26875000000000004
0.77,0.275
0.78,0.28125
0.79,0.2875
0.8,0.2875
0.81,0.2875
0.8200000000000001,0.2875
0.8300000000000001,0.29374999999999996
0.84,0.29374999999999996
0.85,0.30000000000000004
0.86,0.30000000000000004
0.87,0.30625
0.88,0.30625
0.89,0.30625
0.9,0.3125
0.91,0.31875
0.92,0.32499999999999996
0.93,0.3375
0.9400000000000001,0.3375
0.9500000000000001,0.3375
0.96,0.34375
0.97,0.34375
0.98,0.35
0.99,0.35
1.0,0.35624999999999996
