EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS,LOSS_COMPONENT,LOSS_FILE,LOSS_LOCAL,LOSS_PRESENCE,LOSS_GLOBAL_PRESENCE
0,1.4322701692581177,0.5700503472222223,0.6122881944444445,0.5278125,0.7029048204421997,0.7000640630722046,0.7167884707450867,0.6978288292884827,0.6364133358001709
5,1.1646480560302734,0.6626024305555556,0.6998923611111111,0.6253125,0.567076563835144,0.5999100208282471,0.6671473979949951,0.46790528297424316,0.40429195761680603
10,1.0733230113983154,0.6920052083333335,0.7249479166666667,0.6590625000000001,0.5210111737251282,0.5516013503074646,0.6507164835929871,0.4106435775756836,0.348236620426178
15,1.0047924518585205,0.7111296296296297,0.7410092592592593,0.68125,0.4827544093132019,0.5104527473449707,0.6472300291061401,0.3847936689853668,0.31523460149765015
20,0.9492138028144836,0.7247945601851853,0.7504641203703705,0.699125,0.4498252272605896,0.47565656900405884,0.654048502445221,0.3630847930908203,0.290569543838501
25,0.8978455066680908,0.7350393518518518,0.7584537037037036,0.711625,0.4220317602157593,0.44271042943000793,0.6528264284133911,0.34138023853302,0.2669663429260254
30,0.853956937789917,0.7392048611111111,0.7659097222222222,0.7124999999999999,0.39814144372940063,0.4153628349304199,0.6491332054138184,0.32363638281822205,0.24870234727859497
35,0.8135184645652771,0.7480381944444444,0.7708680555555555,0.7252083333333333,0.3743411898612976,0.38884976506233215,0.6505524516105652,0.3126978278160095,0.23473066091537476
40,0.7782885432243347,0.7504583333333332,0.7752916666666666,0.725625,0.3547912538051605,0.366082102060318,0.6483570337295532,0.3019169867038727,0.22052910923957825
45,0.7438473105430603,0.7555717592592592,0.7855185185185185,0.7256250000000001,0.3353337049484253,0.34460949897766113,0.6456358432769775,0.2914986312389374,0.2071673572063446
50,0.7149164080619812,0.7545451388888889,0.7876319444444445,0.7214583333333333,0.31934717297554016,0.3263510763645172,0.6399973034858704,0.2841128706932068,0.19851624965667725
55,0.6884289383888245,0.759625,0.7930000000000001,0.72625,0.3044520616531372,0.3105044364929199,0.6351182460784912,0.2769416570663452,0.18935909867286682
60,0.6642128229141235,0.7655694444444445,0.7980138888888889,0.733125,0.2909266948699951,0.2949572801589966,0.6319954991340637,0.27029919624328613,0.18175837397575378
65,0.6419144868850708,0.7693888888888889,0.8027361111111112,0.7360416666666667,0.27927297353744507,0.2817622125148773,0.6253566741943359,0.2631014287471771,0.17303982377052307
70,0.6221933960914612,0.7765792824074074,0.8015960648148148,0.7515625,0.26906338334083557,0.269946813583374,0.6186902523040771,0.2567385137081146,0.16648831963539124
75,0.6045059561729431,0.7732945601851852,0.8002349537037037,0.7463541666666667,0.25958919525146484,0.2591041922569275,0.6143186688423157,0.2516911029815674,0.160208597779274
80,0.59114670753479,0.7756869212962964,0.8012696759259259,0.7501041666666668,0.2522265911102295,0.25058314204216003,0.614067018032074,0.24633923172950745,0.15440595149993896
