epoch,loss,clean_eer,phone_eer,selection_error,seconds
0,0.6488612940349774,0.16067856249776727,0.2828981054787506,0.243176754009931,272.3448947034776
1,0.4985890895651098,0.12422748544278928,0.25046291334738446,0.20943639927839103,516.011961625889
2,0.44733487893092005,0.1108550947260625,0.24601090748877696,0.20208526834089474,748.6554342079908
3,0.41257581881612365,0.08770645042212935,0.20517778254087332,0.16699959960228153,978.5224270839244
4,0.4072013034850185,0.08648441872372853,0.22041819978804228,0.1768897209421403,1171.2171131549403
5,0.37619714469414706,0.08770645042212935,0.1979155503161505,0.1620975928505936,1356.0626180116087
6,0.3668283006252601,0.08404035532692697,0.21315596756331942,0.17119339358649188,1545.4513955703005
7,0.3387987030702725,0.10352290453565774,0.26736148322794984,0.2141139451529549,1730.7072420520708
8,0.3234300303398169,0.08159629193012541,0.19238142869050598,0.15637625924338228,1937.737560229376
9,0.3139777919658792,0.0827483656628443,0.2107119041665178,0.16912375415282394,2160.197442573495
10,0.3016094316548684,0.08404035532692697,0.1979155503161505,0.16090611194465287,2362.37660675589
11,0.28383382921221484,0.07979822336536516,0.1930274235225473,0.1562279334714631,2560.32373109553
12,0.28438235154887387,0.07491009657176195,0.2089138356017576,0.165362620417009,2778.9344438947737
13,0.2555495654151105,0.09259457721573253,0.1954714869193489,0.16203649126567357,2979.1989815887064
14,0.24144072073364728,0.07368806487336121,0.1833211279010229,0.14769038241703286,3185.5638844380155
