DATASET,N,MUSIC_EER
mixfake_music_dev_v1,1600,0.16874999999999998
external_mixed_v1,400,0.355
source_disjoint_mixed_v1,200,0.22999999999999998
source_disjoint_mixed_equal_v1,200,0.20999999999999996
source_disjoint_music_v1,400,0.265
factorial_eval_1200_v2_dev,400,0.25142857142857145
telephone_mixed_dev_v1,600,0.37
factorial_eval_1200_v2_holdout,400,0.26857142857142857
phone_factorial_1200_v1,1200,0.39249999999999996
yue_cross_component_audit_v1,124,0.3709677419354839
