EPOCH,TRAIN_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.7681719618539016,0.7627770949288806,0.8017619820655535,0.7237922077922078
1,0.3534333093712727,0.7837402339723769,0.8175843640486499,0.7498961038961038
2,0.24071343848481774,0.765663110698825,0.8109366110080396,0.7203896103896104
3,0.17555331592448056,0.7786771477530406,0.8187309188827046,0.7386233766233767
4,0.1487013461223493,0.7714051290970934,0.8138102581941868,0.729
5,0.1301771220518276,0.7681104475881262,0.8154416743970316,0.7207792207792209
6,0.12142538436843703,0.7759722479901052,0.8172951453308597,0.7346493506493507
7,0.10331217421529194,0.7770873917748917,0.8151747835497835,0.739
8,0.10505890746911367,0.7753348343125128,0.8213449933003505,0.7293246753246753
9,0.09040080798634638,0.7753891207998351,0.8189340857555143,0.731844155844156
10,0.08650774716710051,0.7732740221088436,0.8116909013605442,0.7348571428571429
11,0.08498026815941558,0.7588088409606266,0.8178254741290455,0.6997922077922079
12,0.0796750454173889,0.7751390563801279,0.8150573335394765,0.7352207792207792
13,0.07432409427516783,0.7766643539991753,0.8141079287775714,0.7392207792207792
14,0.07554865874505291,0.7674158420944135,0.8076109049680478,0.7272207792207792
15,0.0667605750883619,0.7662794011544012,0.8156497113997114,0.7169090909090908
16,0.06816851417728079,0.7641650046382189,0.8032131261595546,0.7251168831168832
