TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_yue_cross_component_audit_v1:truth
FILE,logit,0.4,0.8138586956521738,-0.12771739130434778,0.1861413043478261
VOICE,logit,0.2,0.8979166666666667,-0.045833333333333365,0.10208333333333333
MUSIC,logit,0.5,0.7903225806451613,-0.032258064516129004,0.20967741935483875
