EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.6383167601625125,0.6841390404250143,0.7296287302006779,0.6386493506493507
1,0.5593780368367831,0.7546939139369191,0.795309905795916,0.7140779220779221
2,0.5188001459538937,0.7681588929683043,0.8161099937288164,0.7202077922077923
3,0.4689964968860149,0.7767359907735998,0.8315758776510956,0.7218961038961039
4,0.42149021703998246,0.7875888864244606,0.849099850770999,0.7260779220779221
5,0.39294740404188633,0.7829730291914159,0.8362577466945199,0.7296883116883117
6,0.36986644462744395,0.8078730258355985,0.8589668308919762,0.7567792207792208
7,0.3477100116660198,0.8014233746308601,0.8519896064045773,0.7508571428571429
8,0.33129376543561617,0.794678288281486,0.8585254077318031,0.7308311688311688
9,0.3183285031070312,0.8035974298634183,0.8597662882982651,0.7474285714285714
10,0.30251334615051745,0.8031672982419712,0.8634774536267995,0.7428571428571429
