DATASET,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
phone,SNR_DB,nan,800,800,400,400,0.14249999999999996,0.04000000000000002,0.16500000000000004,,,0.8712500000000001,,
yue,ALL,ALL,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
yue,AUDIO_TYPE,mixed,108,108,108,108,0.16666666666666663,0.10208333333333333,0.20370370370370372,,,0.8351388888888889,,
yue,AUDIO_TYPE,music,16,16,0,16,0.0,,0.0,,,,,
yue,CONDITION,clean_separator_free,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
yue,SPLIT,audit_yue,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
yue,MIX_MODE,concurrent,32,32,32,32,0.3541666666666667,0.25,0.25,,,0.6979166666666666,,
yue,MIX_MODE,music_only,16,16,0,16,0.0,,0.0,,,,,
yue,MIX_MODE,native_yue_vocal,12,12,12,12,,,0.0,,,,,
yue,MIX_MODE,partial_overlap,32,32,32,32,0.10416666666666669,0.0,0.125,,,0.9104166666666667,,
yue,MIX_MODE,sequential,32,32,32,32,0.020833333333333315,0.0625,0.0625,,,0.9583333333333334,,
yue,VOICE_GENERATOR,YuE,12,12,12,12,,,0.0,,,,,
yue,VOICE_GENERATOR,bonafide,48,48,48,48,0.20833333333333337,,0.20833333333333337,,,,,
yue,VOICE_GENERATOR,cosyvoice3_0.5b,48,48,48,48,,,0.16666666666666663,,,,,
yue,VOICE_GENERATOR,nan,16,16,0,16,0.0,,0.0,,,,,
yue,MUSIC_GENERATOR,YuE,62,62,54,62,,0.09166666666666665,,,,,,
yue,MUSIC_GENERATOR,real,62,62,54,62,0.19374999999999998,0.09166666666666665,,,,,,
yue,COMPONENT_CASE,voice_fake__music_fake,30,30,30,30,,,,,,,,
yue,COMPONENT_CASE,voice_fake__music_real,30,30,30,30,,,,,,,,
yue,COMPONENT_CASE,voice_real__music_fake,24,24,24,24,,,,,,,,
yue,COMPONENT_CASE,voice_real__music_real,24,24,24,24,,,,,,,,
