EPOCH,LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER
1,0.5181908477494057,0.6147278911564626,0.32929421768707484,0.44125000000000003
2,0.3927775072924634,0.6558503401360544,0.28204931972789116,0.40625
3,0.31964904656435583,0.6913690476190476,0.2585119047619048,0.35875
4,0.24900648655726554,0.7161458333333333,0.24770833333333334,0.31999999999999995
5,0.19769619714389455,0.7083652210884354,0.2518409863945578,0.3314285714285714
6,0.1634391000137684,0.7351530612244899,0.22683673469387758,0.3028571428571428
7,0.13743453021062182,0.7272172619047619,0.22556547619047615,0.31999999999999995
8,0.11900325634695114,0.7369430272108843,0.20039965986394556,0.32571428571428573
9,0.10207298013599629,0.7385267857142856,0.20294642857142858,0.31999999999999995
10,0.09860435326365714,0.7355952380952381,0.20880952380952378,0.31999999999999995
11,0.0882137434438188,0.7354464285714286,0.20910714285714285,0.31999999999999995
12,0.08279704128174072,0.7222236394557824,0.20126700680272108,0.3542857142857143
13,0.07105451647905593,0.738562925170068,0.20858843537414964,0.3142857142857143
14,0.06737335698005367,0.747937925170068,0.1898384353741497,0.3142857142857143
15,0.06131777366464759,0.7480931122448979,0.19524234693877549,0.3085714285714286
16,0.05897817168226267,0.7453550170068026,0.20071853741496598,0.3085714285714286
17,0.055030596283997625,0.7469621598639455,0.19750425170068026,0.3085714285714286
18,0.04655673037818138,0.7340816326530613,0.1889795918367347,0.34285714285714286
19,0.04649229287268951,0.7426190476190476,0.19476190476190475,0.31999999999999995
20,0.05572428758394845,0.738297193877551,0.19769132653061222,0.32571428571428573
21,0.0435554527509165,0.7479379251700682,0.18983843537414963,0.3142857142857143
22,0.04028476905474003,0.7460544217687075,0.19931972789115646,0.3085714285714286
23,0.0409963636143886,0.7414455782312925,0.18568027210884352,0.3314285714285714
24,0.036449942420771785,0.7588732993197279,0.1793962585034014,0.3028571428571428
25,0.03968568778339219,0.7504676870748299,0.18477891156462586,0.3142857142857143
26,0.03649132998977253,0.7459289965986395,0.1938562925170068,0.3142857142857143
27,0.03631875811124894,0.7534778911564626,0.1959013605442177,0.29714285714285715
28,0.03571514980471198,0.7595344387755102,0.1837882653061225,0.29714285714285715
29,0.035290290888874455,0.7556079931972789,0.18021258503401366,0.3085714285714286
30,0.031041154464548255,0.7583439625850339,0.18616921768707487,0.29714285714285715
31,0.0340133609814926,0.7608886054421768,0.18107993197278915,0.29714285714285715
32,0.029222198717415014,0.7632015306122448,0.18216836734693878,0.2914285714285715
33,0.02623213305227221,0.7698214285714285,0.18035714285714285,0.28
34,0.029715932174982067,0.7663265306122449,0.17591836734693883,0.2914285714285715
35,0.02377791093672289,0.7676806972789114,0.1732100340136055,0.2914285714285715
36,0.02625853467257099,0.7690497448979591,0.17047193877551023,0.2914285714285715
37,0.02978583174742798,0.755875850340136,0.17967687074829936,0.3085714285714286
38,0.02478668895460903,0.7617219387755102,0.17941326530612248,0.29714285714285715
39,0.023602905442958025,0.7478869047619048,0.18422619047619046,0.31999999999999995
40,0.021920913914614853,0.7558248299319728,0.17406462585034016,0.3142857142857143
41,0.024181342876932407,0.7627721088435375,0.17159863945578233,0.3028571428571428
42,0.020829970854275088,0.7585990646258503,0.17423044217687078,0.3085714285714286
43,0.019215183020470306,0.7526998299319727,0.18031462585034014,0.3142857142857143
