DATASET,METHOD,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA_VS_ANCHOR
factorial,v18,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585,0.0
factorial,wpt_residual,400,400,350,350,0.19236363636363638,0.20571428571428574,0.27428571428571424,0.9928,0.9989142857142856,0.7803896103896104,0.9958571428571428,0.8019363636363637,0.03488311688311685
phone,v18,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287,0.0
phone,wpt_residual,1200,1200,800,800,0.09828571428571427,0.12250000000000003,0.345,0.956603125,0.9840593750000001,0.8228571428571428,0.9703312500000001,0.8376045535714286,0.08899999999999997
yue,v18,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,wpt_residual,124,124,108,124,0.10122282608695654,0.12916666666666665,0.19354838709677422,0.9837962962962963,,0.8654907374941562,,,0.037042572463768186
