EPOCH,LOSS,SELECTION,POOLED_DEVELOPMENT_ADS,MEAN_NORMALIZED_DOMAIN_ADS,WORST_NORMALIZED_DOMAIN_ADS,LOSS_VOICE,LOSS_MUSIC,LOSS_FILE,LOSS_RESIDUAL,LOSS_RANK_VOICE,LOSS_RANK_MUSIC,LOSS_RANK_FILE,LOSS_RANKING,LOSS_QUARTET_INVARIANCE,LOSS_QUARTET_LATENT_INVARIANCE,LOSS_AUC_RANKING,LOSS_LOGIT_CONSISTENCY,LOSS_LATENT_CONSISTENCY,LOSS_GROUP_DRO
0,,0.8036484876507457,0.8256025759508419,0.8441665764790767,0.7192222222222222,,,,,,,,,,,,,,
2,0.5081748066051882,0.8238512682830424,0.841858505597054,0.8580213952713951,0.7536666666666666,0.5234593451403233,0.15119077839261416,0.18074537566577903,0.962651201999005,0.37750406876890635,0.041533101739704,0.17966771785321892,0.17779460544602907,0.6407220163667688,2.065686689347637,0.14179240007485663,0.880271097759203,1.7416435493042275,0.84645267855376
4,0.4193045908623204,0.8250795759125754,0.8467056365903857,0.857573697136197,0.7493333333333333,0.39386953141692344,0.13641005190925634,0.14494708922634625,1.5722125108752931,0.281272494269782,0.03544538746806508,0.14622031828407578,0.13999827574862508,0.7272560551610529,2.3418015785971464,0.08854640721419484,0.8652908061535991,1.5800502692558327,0.6131249927174376
6,0.3829558377667349,0.8206987724088002,0.8444682761695816,0.8625252039627042,0.7313333333333333,0.35130333136387015,0.11920685599539049,0.12239313326129804,1.8507619880291881,0.2144368014664256,0.027838188151078185,0.11662679416013463,0.10955221503877974,0.7209777577343036,2.4627344453213165,0.06744662169794723,0.8481250896441693,1.5842085123366239,0.5475887213928663
8,0.4150247895443926,0.8221343708904757,0.842981584493794,0.8620187590187591,0.7405555555555555,0.32143926989211113,0.11985224916846776,0.11706666084842718,1.894116800202399,0.2004187360835946,0.02611252828233885,0.11005376536893297,0.10294438924697437,0.7008903002252385,8.047384630660622,0.059434111353618146,0.832425595470229,6.042677856221491,0.5301154600456357
10,0.7047195594985874,0.8291921335629907,0.8496172632964775,0.8609625790875791,0.7565714285714287,0.3340766025821165,0.12166863931723092,0.12051747693699233,1.8260665098015143,0.22394827025828465,0.02637168225934444,0.11494611029760265,0.11017421502810047,0.7173267214425972,36.11139732964185,0.06452837016918145,0.8549196295136091,34.2237648039448,0.5431126618035593
12,0.6959237195551395,0.8288968001567681,0.8472200592712451,0.8634804154179155,0.7576666666666666,0.3059099986769107,0.1096784634021472,0.10506353620439768,2.201660796239668,0.19175917451146382,0.021467139445808334,0.10183671180500972,0.09571033373132956,0.7532733695923673,36.5995913816958,0.05151781593734513,0.8384146038062719,35.81787096480934,0.478013642873539
14,0.9373984987638435,0.8191745075962186,0.8374615415549636,0.854441613941614,0.7473333333333333,0.2920118821594788,0.10905619252625169,0.10518821223391867,2.124221459031105,0.16409053920758698,0.019428623719936786,0.09310194951890759,0.0851976706228238,0.7086682433300481,58.8584369007422,0.049881280009036084,0.8474547641009701,59.684653228642986,0.5173085023915129
16,1.6846842761258132,0.8118370708805365,0.8366954711261523,0.8538462301587301,0.720111111111111,0.29326877754380687,0.11349296303461223,0.10630936067522938,2.122603509262318,0.16888284113059063,0.020100520754590838,0.09203444355411536,0.0858239469760626,0.7292737680612933,130.5135960469719,0.049749930204382835,0.8519794372960204,134.3463117293729,0.5086571307374169
18,1.2344717660120554,0.812883687062812,0.8352616194636193,0.8463448426573426,0.7346666666666667,0.2943909081953521,0.10269366138215576,0.09660728565626303,2.2272977418437296,0.14853749948860223,0.02045971655841603,0.08354405852804454,0.07761744508158644,0.7189530229233966,89.3638781722711,0.049630762719340166,0.8607137977924882,90.53628502086717,0.47887810885107945
20,1.8889770228747496,0.8252844074020741,0.844993341666175,0.8562620573870574,0.7548888888888888,0.2780254800962734,0.10923108128645947,0.09554696251797008,2.2022779106183816,0.1502847759883718,0.020909219031143962,0.0799225904592538,0.07629101699023833,0.7357580560536785,152.27377781370518,0.044940732779697,0.8336861464206803,156.96950459176955,0.44887570583714176
22,2.2939876944434885,0.8235331115258633,0.8419843500636035,0.8571637459762461,0.753,0.2833876976629301,0.11135364554784431,0.10165396180688119,2.261947830720824,0.14710964345282931,0.019548897664133952,0.07645246774975058,0.07351283237281046,0.731035355440512,190.66406218859615,0.047543174614512115,0.849045312374222,195.98091035959672,0.4911275877313194
24,2.095914575283157,0.8236170530532789,0.8423893397617916,0.8648006438006438,0.7448888888888888,0.27347765576672617,0.11084116100506625,0.09580984692688814,2.4176158765496796,0.1246344133223343,0.018783795861195555,0.07242544890919335,0.066774746329635,0.7189770930899312,177.75581421985578,0.04478850650409137,0.8625248288380281,176.00862657386838,0.509097553903365
26,2.025476501000171,0.81677459549101,0.837874168088247,0.8539056013431013,0.7374444444444445,0.2810144902073911,0.11254279860010256,0.09346942519959138,2.4505025197048576,0.1371824812828278,0.019992953302084508,0.0721994261637482,0.06953409605193883,0.7395443272377763,172.2867865270498,0.04603998084452802,0.8679511667970492,169.45856625693185,0.4741470112788434
