MODEL,AXIS,GROUP,N,IDENTITY_FILE_EER,CANDIDATE_FILE_EER,DELTA_FILE_EER,IDENTITY_VOICE_EER,CANDIDATE_VOICE_EER,DELTA_VOICE_EER,IDENTITY_MUSIC_EER,CANDIDATE_MUSIC_EER,DELTA_MUSIC_EER,IDENTITY_ADS,CANDIDATE_ADS,DELTA_ADS,IDENTITY_CPS,CANDIDATE_CPS,DELTA_CPS,IDENTITY_NORMALIZED_AVAILABLE_ADS,CANDIDATE_NORMALIZED_AVAILABLE_ADS,DELTA_NORMALIZED_AVAILABLE_ADS
v1_strict__voice_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.25666666666666665,0.0,0.20999999999999996,0.24,0.030000000000000027,0.36,0.36,0.0,0.7216666666666667,0.7156666666666667,-0.006000000000000005,,,,0.7216666666666667,0.7156666666666667,-0.006000000000000005
v1_strict__voice_only,LAYOUT,sequential,200,0.1433333333333333,0.1433333333333333,0.0,0.18000000000000002,0.20999999999999996,0.029999999999999943,0.20999999999999996,0.20999999999999996,0.0,0.8293333333333334,0.8233333333333334,-0.006000000000000005,,,,0.8293333333333334,0.8233333333333334,-0.006000000000000005
v1_strict__music_only,LAYOUT,concurrent,200,0.28,0.28,0.0,0.22999999999999998,0.22999999999999998,0.0,0.25,0.22999999999999998,-0.020000000000000018,0.739,0.745,0.006000000000000005,,,,0.739,0.745,0.006000000000000005
v1_strict__music_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.25666666666666665,0.0,0.20999999999999996,0.20999999999999996,0.0,0.36,0.31999999999999995,-0.040000000000000036,0.7216666666666667,0.7336666666666667,0.01200000000000001,,,,0.7216666666666667,0.7336666666666667,0.01200000000000001
v1_strict__music_only,LAYOUT,sequential,200,0.1433333333333333,0.1433333333333333,0.0,0.18000000000000002,0.18000000000000002,0.0,0.20999999999999996,0.19999999999999998,-0.009999999999999981,0.8293333333333334,0.8323333333333334,0.0030000000000000027,,,,0.8293333333333334,0.8323333333333334,0.0030000000000000027
v1_strict__file_only,LAYOUT,concurrent,200,0.28,0.28,0.0,0.22999999999999998,0.22999999999999998,0.0,0.25,0.25,0.0,0.739,0.739,0.0,,,,0.739,0.739,0.0
v1_strict__file_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.27666666666666667,0.020000000000000018,0.20999999999999996,0.20999999999999996,0.0,0.36,0.36,0.0,0.7216666666666667,0.7116666666666667,-0.010000000000000009,,,,0.7216666666666667,0.7116666666666667,-0.010000000000000009
v1_strict__file_only,LAYOUT,sequential,200,0.1433333333333333,0.13666666666666666,-0.006666666666666654,0.18000000000000002,0.18000000000000002,0.0,0.20999999999999996,0.20999999999999996,0.0,0.8293333333333334,0.8326666666666667,0.0033333333333332993,,,,0.8293333333333334,0.8326666666666667,0.0033333333333332993
v2_strict__full,LAYOUT,concurrent,200,0.28,0.30000000000000004,0.020000000000000018,0.22999999999999998,0.21999999999999997,-0.010000000000000009,0.25,0.21999999999999997,-0.030000000000000027,0.739,0.74,0.0010000000000000009,,,,0.739,0.74,0.0010000000000000009
v2_strict__full,LAYOUT,partial_overlap,200,0.25666666666666665,0.31666666666666665,0.06,0.20999999999999996,0.21999999999999997,0.010000000000000009,0.36,0.33999999999999997,-0.020000000000000018,0.7216666666666667,0.6956666666666667,-0.026000000000000023,,,,0.7216666666666667,0.6956666666666667,-0.026000000000000023
v2_strict__full,LAYOUT,sequential,200,0.1433333333333333,0.16000000000000003,0.01666666666666672,0.18000000000000002,0.17000000000000004,-0.009999999999999981,0.20999999999999996,0.26,0.050000000000000044,0.8293333333333334,0.8079999999999999,-0.021333333333333426,,,,0.8293333333333334,0.8079999999999999,-0.021333333333333426
v2_strict__voice_only,LAYOUT,concurrent,200,0.28,0.28,0.0,0.22999999999999998,0.21999999999999997,-0.010000000000000009,0.25,0.25,0.0,0.739,0.741,0.0020000000000000018,,,,0.739,0.741,0.0020000000000000018
v2_strict__voice_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.25666666666666665,0.0,0.20999999999999996,0.21999999999999997,0.010000000000000009,0.36,0.36,0.0,0.7216666666666667,0.7196666666666667,-0.0020000000000000018,,,,0.7216666666666667,0.7196666666666667,-0.0020000000000000018
v2_strict__voice_only,LAYOUT,sequential,200,0.1433333333333333,0.1433333333333333,0.0,0.18000000000000002,0.17000000000000004,-0.009999999999999981,0.20999999999999996,0.20999999999999996,0.0,0.8293333333333334,0.8313333333333334,0.0020000000000000018,,,,0.8293333333333334,0.8313333333333334,0.0020000000000000018
v2_strict__music_only,LAYOUT,concurrent,200,0.28,0.28,0.0,0.22999999999999998,0.22999999999999998,0.0,0.25,0.21999999999999997,-0.030000000000000027,0.739,0.748,0.009000000000000008,,,,0.739,0.748,0.009000000000000008
v2_strict__music_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.25666666666666665,0.0,0.20999999999999996,0.20999999999999996,0.0,0.36,0.33999999999999997,-0.020000000000000018,0.7216666666666667,0.7276666666666667,0.006000000000000005,,,,0.7216666666666667,0.7276666666666667,0.006000000000000005
v2_strict__music_only,LAYOUT,sequential,200,0.1433333333333333,0.1433333333333333,0.0,0.18000000000000002,0.18000000000000002,0.0,0.20999999999999996,0.26,0.050000000000000044,0.8293333333333334,0.8143333333333334,-0.015000000000000013,,,,0.8293333333333334,0.8143333333333334,-0.015000000000000013
v2_strict__file_only,LAYOUT,concurrent,200,0.28,0.30000000000000004,0.020000000000000018,0.22999999999999998,0.22999999999999998,0.0,0.25,0.25,0.0,0.739,0.729,-0.010000000000000009,,,,0.739,0.729,-0.010000000000000009
v2_strict__file_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.30000000000000004,0.04333333333333339,0.20999999999999996,0.20999999999999996,0.0,0.36,0.36,0.0,0.7216666666666667,0.7,-0.021666666666666723,,,,0.7216666666666667,0.7,-0.021666666666666723
v2_strict__file_only,LAYOUT,sequential,200,0.1433333333333333,0.16000000000000003,0.01666666666666672,0.18000000000000002,0.18000000000000002,0.0,0.20999999999999996,0.20999999999999996,0.0,0.8293333333333334,0.821,-0.008333333333333415,,,,0.8293333333333334,0.821,-0.008333333333333415
v1_strict__full,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.1333333333333333,0.01666666666666662,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.8966666666666667,0.8883333333333332,-0.008333333333333526,,,,0.8966666666666667,0.8883333333333332,-0.008333333333333526
v1_strict__full,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19444444444444445,-0.005555555555555536,0.09999999999999999,0.16666666666666663,0.06666666666666664,0.25,0.19999999999999998,-0.05000000000000002,0.805,0.8094444444444444,0.004444444444444362,,,,0.805,0.8094444444444444,0.004444444444444362
v1_strict__full,CHANNEL,g722_wb,120,0.16666666666666663,0.1333333333333333,-0.033333333333333326,0.09999999999999999,0.16666666666666663,0.06666666666666664,0.09999999999999999,0.08333333333333334,-0.01666666666666665,0.8666666666666667,0.875,0.008333333333333304,,,,0.8666666666666667,0.875,0.008333333333333304
