EPOCH,TRAIN_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,1.0029633089900016,0.7799535018552876,0.8086602504638218,0.7512467532467533
1,0.479175574084123,0.7826868171511028,0.8215814265099979,0.7437922077922077
2,0.3344905681287249,0.7808621482683983,0.8260879329004329,0.7356363636363636
3,0.2618433727572362,0.7713906411049268,0.8106254380540096,0.7321558441558441
4,0.21921536000445485,0.7823584763450835,0.8226130565862709,0.7421038961038962
5,0.1880349239955346,0.7779097673160174,0.816183170995671,0.7396363636363636
6,0.1627744611663123,0.7811516697588126,0.8242254174397031,0.738077922077922
7,0.1467845036027332,0.7812622139764996,0.8175244279529993,0.745
8,0.14251790111884474,0.7826678841991342,0.8251539502164503,0.7401818181818182
9,0.11264000466714302,0.7794805001546072,0.8248571042053184,0.734103896103896
10,0.11453236099332571,0.7753233804885591,0.8249584492888065,0.7256883116883116
11,0.11213793852366508,0.7876507807668522,0.8246262368583798,0.7506753246753247
12,0.08676812092307955,0.7836500141723356,0.8244428854875283,0.7428571428571429
13,0.09374414593912661,0.7692329931972788,0.8230374149659863,0.7154285714285714
14,0.08874343819140146,0.769780612244898,0.8161326530612245,0.7234285714285714
15,0.08462465157111486,0.7749827806122449,0.8253941326530613,0.7245714285714286
16,0.07982242587022484,0.7672886518243661,0.8225513296227582,0.712025974025974
17,0.07162858795685073,0.7684173881673881,0.820652958152958,0.7161818181818183
18,0.07437964570708573,0.7719720804988661,0.8205155895691609,0.7234285714285714
19,0.06740096317759404,0.7684428854875284,0.819171485260771,0.7177142857142857
20,0.06719612068651865,0.7645511170377242,0.8184528834260977,0.7106493506493506
21,0.06421384932473302,0.7699157583487941,0.8162211270871987,0.7236103896103896
22,0.062250580592080954,0.7821426574417647,0.8218177824159968,0.7424675324675325
23,0.055179474933538586,0.7755942911255411,0.8155522186147186,0.7356363636363636
24,0.057426655928914744,0.7763204107400536,0.8152901721294578,0.7373506493506494
25,0.05448119648887465,0.7782828991445063,0.819007356730571,0.7375584415584415
26,0.04645768796714644,0.7693281346629561,0.8081627628324057,0.7304935064935065
