EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,1.292880227168401,0.6596613005050505,0.6909329906204906,0.6283896103896104
2,0.9277277804083295,0.7378436447811447,0.763141835016835,0.7125454545454546
4,0.6256633632712894,0.7436848695286195,0.7768762325637324,0.7104935064935065
6,0.46345070335600114,0.751070707070707,0.7866868686868687,0.7154545454545455
8,0.38592031101385754,0.7716925505050506,0.7995669191919194,0.7438181818181818
10,0.28948433366086745,0.7673892045454545,0.8024147727272727,0.7323636363636363
12,0.2579849904610051,0.7783368055555555,0.8098164682539682,0.7468571428571429
14,0.2277732855743832,0.7743140782828284,0.8093814033189034,0.7392467532467533
16,0.20653638202283117,0.7714640151515151,0.8098111471861471,0.7331168831168831
18,0.15036814908186594,0.7763410143097643,0.8119287818662819,0.7407532467532467
20,0.13319668132397863,0.7812824074074074,0.8162791005291007,0.7462857142857142
22,0.13741865153941843,0.7836455176767677,0.8093689574314574,0.757922077922078
24,0.1528138957089848,0.7709123526936028,0.803175354737855,0.7386493506493506
26,0.11026285919878218,0.7777480008417508,0.8168466510341511,0.7386493506493506
28,0.09737158670193619,0.7770296717171716,0.812734668109668,0.7413246753246753
30,0.09157895617600945,0.7731792929292929,0.8143845598845599,0.7319740259740259
32,0.07758805755939749,0.780875,0.8148928571428571,0.7468571428571429
34,0.09025790852804978,0.7662716750841752,0.8089069865319867,0.7236363636363636
36,0.118005464060439,0.7628136574074075,0.8050558862433864,0.7205714285714285
38,0.0790705599097742,0.7643221801346801,0.8082547498797498,0.7203896103896105
40,0.05971571575436327,0.771246106902357,0.80859610990861,0.7338961038961039
42,0.06411154951072401,0.7750451388888888,0.8106617063492063,0.7394285714285714
44,0.05379728662470976,0.7789775883838383,0.8160590728715729,0.7418961038961038
46,0.053598054943399295,0.7835085227272728,0.8140560064935065,0.752961038961039
