DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
mixfake_music_dev_v1,1600,1600,1600,1600,0.062083333333333324,0.08750000000000001,0.07374999999999998,,,0.9293333333333333,,,0.9293333333333333
factorial_eval_1200_v2,400,400,350,350,0.20945454545454545,0.2571428571428571,0.18285714285714283,0.9992571428571428,1.0,0.7889870129870129,0.9996285714285714,0.8100511688311688,0.7889870129870129
external_mixed_v1,400,400,400,400,0.13,0.22499999999999998,0.09999999999999999,,,0.8600000000000001,,,0.8600000000000001
source_disjoint_mixed_v1,200,200,200,200,0.18333333333333332,0.17000000000000004,0.09999999999999999,,,0.8443333333333334,,,0.8443333333333334
source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.08999999999999998,0.09999999999999999,,,0.892,,,0.892
source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.04500000000000002,,,,,,0.9643749999999999
asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
external_mixed_v1_telephone_v1,400,400,400,400,0.15166666666666667,0.24,0.12,,,0.8401666666666667,,,0.8401666666666667
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26,0.18000000000000002,0.26,,,0.756,,,0.756
telephone_mixed_dev_v1,600,600,600,600,0.19333333333333336,0.20333333333333337,0.15333333333333332,,,0.8166666666666667,,,0.8166666666666667
multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
codec_mixed_dev_v4,600,600,600,600,0.2211111111111111,0.21333333333333337,0.2533333333333333,,,0.7707777777777778,,,0.7707777777777778
