expert_weight,eer
0.0,0.12907768840479134
0.01,0.12907768840479134
0.02,0.12907768840479134
0.03,0.12860831499241027
0.04,0.12766956816764813
0.05,0.12766956816764813
0.06,0.12673082134288605
0.07,0.12626144793050498
0.08,0.12673082134288605
0.09,0.12626144793050498
0.1,0.12626144793050498
0.11,0.12626144793050498
0.12,0.1253227011057429
0.13,0.1248533276933618
0.14,0.12391458086859966
0.15,0.12344520745621862
0.16,0.12297583404383758
0.17,0.12250646063145648
0.18,0.1215677138066944
0.19,0.1210983403943133
0.2,0.1210983403943133
0.21,0.12062896698193226
0.22,0.12015959356955122
0.23,0.12015959356955122
0.24,0.11969022015717012
0.25,0.11969022015717012
0.26,0.11922084674478908
0.27,0.11828209992002695
0.28,0.11828209992002695
0.29,0.11828209992002695
0.3,0.11828209992002695
0.31,0.1178127265076459
0.32,0.11734335309526486
0.33,0.11734335309526486
0.34,0.11687397968288377
0.35000000000000003,0.11734335309526486
0.36,0.11593523285812168
0.37,0.11593523285812168
0.38,0.11593523285812168
0.39,0.11546585944574059
0.4,0.11593523285812168
0.41000000000000003,0.11546585944574059
0.42,0.11546585944574059
0.43,0.11546585944574059
0.44,0.11546585944574059
0.45,0.11499648603335955
0.46,0.11499648603335955
0.47000000000000003,0.11499648603335955
0.48,0.11405773920859741
0.49,0.11358836579621637
0.5,0.11311899238383533
0.51,0.11311899238383533
0.52,0.1145271126209785
0.53,0.11593523285812168
0.54,0.11640460627050273
0.55,0.11734335309526486
0.56,0.1178127265076459
0.5700000000000001,0.1178127265076459
0.58,0.11828209992002695
0.59,0.11828209992002695
0.6,0.11875147333240804
0.61,0.11875147333240804
0.62,0.12015959356955122
0.63,0.1210983403943133
0.64,0.12062896698193226
0.65,0.12203708721907544
0.66,0.1248533276933618
0.67,0.1257920745181239
0.68,0.12673082134288605
0.6900000000000001,0.12813894158002925
0.7000000000000001,0.12907768840479134
0.71,0.13001643522955347
0.72,0.1318939288790777
0.73,0.13517954276574512
0.74,0.13564891617812616
0.75,0.1365876630028883
0.76,0.14081202371431784
0.77,0.1431588907762231
0.78,0.14691387807527156
0.79,0.1478526249000337
0.8,0.15160761219908214
0.81,0.15583197291051176
0.8200000000000001,0.1605257070343223
0.8300000000000001,0.1642806943333708
0.84,0.16709693480765717
0.85,0.17179066893146772
0.86,0.17507628281813514
0.87,0.17930064352956465
0.88,0.18399437765337529
0.89,0.19009623201432904
0.9,0.19432059272575858
0.91,0.20042244708671236
0.92,0.20605492803528508
0.93,0.21685051652004944
0.9400000000000001,0.22529923794290851
0.9500000000000001,0.23515607960291077
0.96,0.24266605420100767
0.97,0.2520535224486289
0.98,0.2619103641086311
0.99,0.2694203387067281
1.0,0.2797465537791114
