DATASET,GROUP,VALUE,POOL,N,MUSIC_EER
factorial_eval_1200_v2,SPLIT,holdout,MEAN,350,0.3828571428571429
factorial_eval_1200_v2,SPLIT,locked,MEAN,350,0.37142857142857144
factorial_eval_1200_v2,ALL,ALL,MAX,1050,0.3695238095238095
factorial_eval_1200_v2,MIX_MODE,concurrent,MAX,300,0.3866666666666667
factorial_eval_1200_v2,MIX_MODE,music_only,MAX,150,0.3466666666666667
factorial_eval_1200_v2,MIX_MODE,partial_overlap,MAX,300,0.3733333333333333
factorial_eval_1200_v2,MIX_MODE,sequential,MAX,300,0.3533333333333334
factorial_eval_1200_v2,CHANNEL,clean_flac,MAX,175,0.27998432192317746
factorial_eval_1200_v2,CHANNEL,mp3_64k,MAX,175,0.2971525600835946
factorial_eval_1200_v2,CHANNEL,noisy_flac,MAX,175,0.2857236154649948
factorial_eval_1200_v2,CHANNEL,ogg_48k,MAX,175,0.44969950352756727
factorial_eval_1200_v2,CHANNEL,stereo_wav,MAX,174,0.3390591966173362
factorial_eval_1200_v2,CHANNEL,telephone_flac,MAX,176,0.3920315123337208
factorial_eval_1200_v2,AUDIO_TYPE,mixed,MAX,900,0.3733333333333333
factorial_eval_1200_v2,AUDIO_TYPE,music,MAX,150,0.3466666666666667
factorial_eval_1200_v2,SPLIT,dev,MAX,350,0.39428571428571424
factorial_eval_1200_v2,SPLIT,holdout,MAX,350,0.36571428571428577
factorial_eval_1200_v2,SPLIT,locked,MAX,350,0.3371428571428572
factorial_eval_1200_v2,ALL,ALL,TOP3,1050,0.38857142857142857
factorial_eval_1200_v2,MIX_MODE,concurrent,TOP3,300,0.3933333333333333
factorial_eval_1200_v2,MIX_MODE,music_only,TOP3,150,0.33333333333333337
factorial_eval_1200_v2,MIX_MODE,partial_overlap,TOP3,300,0.38
factorial_eval_1200_v2,MIX_MODE,sequential,TOP3,300,0.4066666666666666
factorial_eval_1200_v2,CHANNEL,clean_flac,TOP3,175,0.29141625293963946
factorial_eval_1200_v2,CHANNEL,mp3_64k,TOP3,175,0.4114420062695925
factorial_eval_1200_v2,CHANNEL,noisy_flac,TOP3,175,0.314328631138976
factorial_eval_1200_v2,CHANNEL,ogg_48k,TOP3,175,0.4285994251371832
factorial_eval_1200_v2,CHANNEL,stereo_wav,TOP3,174,0.3505549682875264
factorial_eval_1200_v2,CHANNEL,telephone_flac,TOP3,176,0.3920315123337208
factorial_eval_1200_v2,AUDIO_TYPE,mixed,TOP3,900,0.3911111111111111
factorial_eval_1200_v2,AUDIO_TYPE,music,TOP3,150,0.33333333333333337
factorial_eval_1200_v2,SPLIT,dev,TOP3,350,0.4057142857142857
factorial_eval_1200_v2,SPLIT,holdout,TOP3,350,0.3771428571428571
factorial_eval_1200_v2,SPLIT,locked,TOP3,350,0.38571428571428573
factorial_eval_1200_v2,ALL,ALL,LME_T2,1050,0.37523809523809526
factorial_eval_1200_v2,MIX_MODE,concurrent,LME_T2,300,0.3866666666666667
factorial_eval_1200_v2,MIX_MODE,music_only,LME_T2,150,0.3466666666666667
factorial_eval_1200_v2,MIX_MODE,partial_overlap,LME_T2,300,0.3666666666666667
factorial_eval_1200_v2,MIX_MODE,sequential,LME_T2,300,0.3866666666666667
factorial_eval_1200_v2,CHANNEL,clean_flac,LME_T2,175,0.29141625293963946
factorial_eval_1200_v2,CHANNEL,mp3_64k,LME_T2,175,0.43429989550679204
factorial_eval_1200_v2,CHANNEL,noisy_flac,LME_T2,175,0.2857236154649948
factorial_eval_1200_v2,CHANNEL,ogg_48k,LME_T2,175,0.4285994251371832
factorial_eval_1200_v2,CHANNEL,stereo_wav,LME_T2,174,0.3390591966173362
factorial_eval_1200_v2,CHANNEL,telephone_flac,LME_T2,176,0.3920315123337208
factorial_eval_1200_v2,AUDIO_TYPE,mixed,LME_T2,900,0.3844444444444445
factorial_eval_1200_v2,AUDIO_TYPE,music,LME_T2,150,0.3466666666666667
factorial_eval_1200_v2,SPLIT,dev,LME_T2,350,0.4057142857142857
factorial_eval_1200_v2,SPLIT,holdout,LME_T2,350,0.3771428571428571
factorial_eval_1200_v2,SPLIT,locked,LME_T2,350,0.3342857142857143
factorial_eval_1200_v2,ALL,ALL,LME_T5,1050,0.36666666666666664
factorial_eval_1200_v2,MIX_MODE,concurrent,LME_T5,300,0.38
factorial_eval_1200_v2,MIX_MODE,music_only,LME_T5,150,0.3466666666666667
factorial_eval_1200_v2,MIX_MODE,partial_overlap,LME_T5,300,0.3666666666666667
factorial_eval_1200_v2,MIX_MODE,sequential,LME_T5,300,0.38
factorial_eval_1200_v2,CHANNEL,clean_flac,LME_T5,175,0.27998432192317746
factorial_eval_1200_v2,CHANNEL,mp3_64k,LME_T5,175,0.43429989550679204
factorial_eval_1200_v2,CHANNEL,noisy_flac,LME_T5,175,0.2857236154649948
factorial_eval_1200_v2,CHANNEL,ogg_48k,LME_T5,175,0.4285994251371832
factorial_eval_1200_v2,CHANNEL,stereo_wav,LME_T5,174,0.3390591966173362
factorial_eval_1200_v2,CHANNEL,telephone_flac,LME_T5,176,0.3920315123337208
factorial_eval_1200_v2,AUDIO_TYPE,mixed,LME_T5,900,0.3733333333333333
factorial_eval_1200_v2,AUDIO_TYPE,music,LME_T5,150,0.3466666666666667
factorial_eval_1200_v2,SPLIT,dev,LME_T5,350,0.4057142857142857
factorial_eval_1200_v2,SPLIT,holdout,LME_T5,350,0.3828571428571429
factorial_eval_1200_v2,SPLIT,locked,LME_T5,350,0.34285714285714286
factorial_eval_1200_v2,ALL,ALL,Q75,1050,0.36571428571428577
factorial_eval_1200_v2,MIX_MODE,concurrent,Q75,300,0.3866666666666667
factorial_eval_1200_v2,MIX_MODE,music_only,Q75,150,0.3466666666666667
factorial_eval_1200_v2,MIX_MODE,partial_overlap,Q75,300,0.37333333333333335
factorial_eval_1200_v2,MIX_MODE,sequential,Q75,300,0.3566666666666667
factorial_eval_1200_v2,CHANNEL,clean_flac,Q75,175,0.29141625293963946
factorial_eval_1200_v2,CHANNEL,mp3_64k,Q75,175,0.3314393939393939
factorial_eval_1200_v2,CHANNEL,noisy_flac,Q75,175,0.2971525600835946
factorial_eval_1200_v2,CHANNEL,ogg_48k,Q75,175,0.4400313561536452
factorial_eval_1200_v2,CHANNEL,stereo_wav,Q75,174,0.3506871035940803
factorial_eval_1200_v2,CHANNEL,telephone_flac,Q75,176,0.3693013044039778
factorial_eval_1200_v2,AUDIO_TYPE,mixed,Q75,900,0.37
factorial_eval_1200_v2,AUDIO_TYPE,music,Q75,150,0.3466666666666667
factorial_eval_1200_v2,SPLIT,dev,Q75,350,0.4114285714285714
factorial_eval_1200_v2,SPLIT,holdout,Q75,350,0.3628571428571429
factorial_eval_1200_v2,SPLIT,locked,Q75,350,0.34285714285714286
phone_factorial_1200_v1,ALL,ALL,MEDIAN,800,0.395
phone_factorial_1200_v1,CHANNEL,g711_ulaw,MEDIAN,200,0.4
phone_factorial_1200_v1,CHANNEL,g726_24k,MEDIAN,200,0.37
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,MEDIAN,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,resample8k,MEDIAN,200,0.31999999999999995
phone_factorial_1200_v1,AUDIO_TYPE,mixed,MEDIAN,400,0.42000000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,MEDIAN,400,0.37
phone_factorial_1200_v1,CONDITION,simultaneous,MEDIAN,400,0.42000000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,MEDIAN,400,0.37
phone_factorial_1200_v1,SPLIT,alignment,MEDIAN,200,0.4
phone_factorial_1200_v1,SPLIT,prospective,MEDIAN,200,0.33999999999999997
phone_factorial_1200_v1,ALL,ALL,MEAN,800,0.39249999999999996
phone_factorial_1200_v1,CHANNEL,g711_ulaw,MEAN,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,g726_24k,MEAN,200,0.38
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,MEAN,200,0.42000000000000004
phone_factorial_1200_v1,CHANNEL,resample8k,MEAN,200,0.36
phone_factorial_1200_v1,AUDIO_TYPE,mixed,MEAN,400,0.42000000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,MEAN,400,0.41000000000000003
phone_factorial_1200_v1,CONDITION,simultaneous,MEAN,400,0.42000000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,MEAN,400,0.41000000000000003
phone_factorial_1200_v1,SPLIT,alignment,MEAN,200,0.43999999999999995
phone_factorial_1200_v1,SPLIT,prospective,MEAN,200,0.4
phone_factorial_1200_v1,ALL,ALL,MAX,800,0.39749999999999996
phone_factorial_1200_v1,CHANNEL,g711_ulaw,MAX,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,g726_24k,MAX,200,0.4
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,MAX,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,resample8k,MAX,200,0.35
phone_factorial_1200_v1,AUDIO_TYPE,mixed,MAX,400,0.42500000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,MAX,400,0.41000000000000003
phone_factorial_1200_v1,CONDITION,simultaneous,MAX,400,0.42500000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,MAX,400,0.41000000000000003
phone_factorial_1200_v1,SPLIT,alignment,MAX,200,0.43000000000000005
phone_factorial_1200_v1,SPLIT,prospective,MAX,200,0.41000000000000003
phone_factorial_1200_v1,ALL,ALL,TOP3,800,0.39249999999999996
phone_factorial_1200_v1,CHANNEL,g711_ulaw,TOP3,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,g726_24k,TOP3,200,0.38
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,TOP3,200,0.42000000000000004
phone_factorial_1200_v1,CHANNEL,resample8k,TOP3,200,0.36
phone_factorial_1200_v1,AUDIO_TYPE,mixed,TOP3,400,0.42000000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,TOP3,400,0.41000000000000003
phone_factorial_1200_v1,CONDITION,simultaneous,TOP3,400,0.42000000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,TOP3,400,0.41000000000000003
phone_factorial_1200_v1,SPLIT,alignment,TOP3,200,0.43999999999999995
phone_factorial_1200_v1,SPLIT,prospective,TOP3,200,0.4
phone_factorial_1200_v1,ALL,ALL,LME_T2,800,0.39249999999999996
phone_factorial_1200_v1,CHANNEL,g711_ulaw,LME_T2,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,g726_24k,LME_T2,200,0.39
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,LME_T2,200,0.42000000000000004
phone_factorial_1200_v1,CHANNEL,resample8k,LME_T2,200,0.36
phone_factorial_1200_v1,AUDIO_TYPE,mixed,LME_T2,400,0.42000000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,LME_T2,400,0.41000000000000003
phone_factorial_1200_v1,CONDITION,simultaneous,LME_T2,400,0.42000000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,LME_T2,400,0.41000000000000003
phone_factorial_1200_v1,SPLIT,alignment,LME_T2,200,0.43999999999999995
phone_factorial_1200_v1,SPLIT,prospective,LME_T2,200,0.4
phone_factorial_1200_v1,ALL,ALL,LME_T5,800,0.39249999999999996
phone_factorial_1200_v1,CHANNEL,g711_ulaw,LME_T5,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,g726_24k,LME_T5,200,0.39
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,LME_T5,200,0.42000000000000004
phone_factorial_1200_v1,CHANNEL,resample8k,LME_T5,200,0.36
phone_factorial_1200_v1,AUDIO_TYPE,mixed,LME_T5,400,0.42000000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,LME_T5,400,0.41000000000000003
phone_factorial_1200_v1,CONDITION,simultaneous,LME_T5,400,0.42000000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,LME_T5,400,0.41000000000000003
phone_factorial_1200_v1,SPLIT,alignment,LME_T5,200,0.43000000000000005
phone_factorial_1200_v1,SPLIT,prospective,LME_T5,200,0.41000000000000003
phone_factorial_1200_v1,ALL,ALL,Q75,800,0.39249999999999996
phone_factorial_1200_v1,CHANNEL,g711_ulaw,Q75,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,g726_24k,Q75,200,0.39
phone_factorial_1200_v1,CHANNEL,opus_nb_8k,Q75,200,0.41000000000000003
phone_factorial_1200_v1,CHANNEL,resample8k,Q75,200,0.36
phone_factorial_1200_v1,AUDIO_TYPE,mixed,Q75,400,0.42000000000000004
phone_factorial_1200_v1,AUDIO_TYPE,music,Q75,400,0.41000000000000003
phone_factorial_1200_v1,CONDITION,simultaneous,Q75,400,0.42000000000000004
phone_factorial_1200_v1,CONDITION,source_disjoint,Q75,400,0.41000000000000003
phone_factorial_1200_v1,SPLIT,alignment,Q75,200,0.43999999999999995
phone_factorial_1200_v1,SPLIT,prospective,Q75,200,0.39
source_disjoint_music_v1,ALL,ALL,MEDIAN,400,0.14500000000000002
source_disjoint_music_v1,AUDIO_TYPE,music,MEDIAN,400,0.14500000000000002
source_disjoint_music_v1,CONDITION,source_disjoint,MEDIAN,400,0.14500000000000002
source_disjoint_music_v1,SPLIT,alignment,MEDIAN,200,0.13
source_disjoint_music_v1,SPLIT,prospective,MEDIAN,200,0.16000000000000003
source_disjoint_music_v1,ALL,ALL,MEAN,400,0.14
source_disjoint_music_v1,AUDIO_TYPE,music,MEAN,400,0.14
source_disjoint_music_v1,CONDITION,source_disjoint,MEAN,400,0.14
source_disjoint_music_v1,SPLIT,alignment,MEAN,200,0.17000000000000004
source_disjoint_music_v1,SPLIT,prospective,MEAN,200,0.15000000000000002
source_disjoint_music_v1,ALL,ALL,MAX,400,0.12
source_disjoint_music_v1,AUDIO_TYPE,music,MAX,400,0.12
source_disjoint_music_v1,CONDITION,source_disjoint,MAX,400,0.12
source_disjoint_music_v1,SPLIT,alignment,MAX,200,0.10999999999999999
source_disjoint_music_v1,SPLIT,prospective,MAX,200,0.13
source_disjoint_music_v1,ALL,ALL,TOP3,400,0.14
source_disjoint_music_v1,AUDIO_TYPE,music,TOP3,400,0.14
source_disjoint_music_v1,CONDITION,source_disjoint,TOP3,400,0.14
source_disjoint_music_v1,SPLIT,alignment,TOP3,200,0.17000000000000004
source_disjoint_music_v1,SPLIT,prospective,TOP3,200,0.15000000000000002
source_disjoint_music_v1,ALL,ALL,LME_T2,400,0.135
source_disjoint_music_v1,AUDIO_TYPE,music,LME_T2,400,0.135
source_disjoint_music_v1,CONDITION,source_disjoint,LME_T2,400,0.135
source_disjoint_music_v1,SPLIT,alignment,LME_T2,200,0.16000000000000003
source_disjoint_music_v1,SPLIT,prospective,LME_T2,200,0.15000000000000002
source_disjoint_music_v1,ALL,ALL,LME_T5,400,0.14500000000000002
source_disjoint_music_v1,AUDIO_TYPE,music,LME_T5,400,0.14500000000000002
source_disjoint_music_v1,CONDITION,source_disjoint,LME_T5,400,0.14500000000000002
source_disjoint_music_v1,SPLIT,alignment,LME_T5,200,0.15000000000000002
source_disjoint_music_v1,SPLIT,prospective,LME_T5,200,0.15000000000000002
source_disjoint_music_v1,ALL,ALL,Q75,400,0.14
source_disjoint_music_v1,AUDIO_TYPE,music,Q75,400,0.14
source_disjoint_music_v1,CONDITION,source_disjoint,Q75,400,0.14
source_disjoint_music_v1,SPLIT,alignment,Q75,200,0.13
source_disjoint_music_v1,SPLIT,prospective,Q75,200,0.16000000000000003
yue_cross_component_audit_v1,ALL,ALL,MEDIAN,124,0.4193548387096774
yue_cross_component_audit_v1,MIX_MODE,concurrent,MEDIAN,32,0.5625
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,MEDIAN,32,0.25
yue_cross_component_audit_v1,MIX_MODE,sequential,MEDIAN,32,0.46875
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,MEDIAN,108,0.40740740740740744
yue_cross_component_audit_v1,CONDITION,clean_separator_free,MEDIAN,124,0.4193548387096774
yue_cross_component_audit_v1,SPLIT,audit_yue,MEDIAN,124,0.4193548387096774
yue_cross_component_audit_v1,ALL,ALL,MEAN,124,0.3709677419354839
yue_cross_component_audit_v1,MIX_MODE,concurrent,MEAN,32,0.5
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,MEAN,32,0.25
yue_cross_component_audit_v1,MIX_MODE,sequential,MEAN,32,0.375
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,MEAN,108,0.37037037037037035
yue_cross_component_audit_v1,CONDITION,clean_separator_free,MEAN,124,0.3709677419354839
yue_cross_component_audit_v1,SPLIT,audit_yue,MEAN,124,0.3709677419354839
yue_cross_component_audit_v1,ALL,ALL,MAX,124,0.29032258064516125
yue_cross_component_audit_v1,MIX_MODE,concurrent,MAX,32,0.5
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,MAX,32,0.3125
yue_cross_component_audit_v1,MIX_MODE,sequential,MAX,32,0.25
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,MAX,108,0.31481481481481477
yue_cross_component_audit_v1,CONDITION,clean_separator_free,MAX,124,0.29032258064516125
yue_cross_component_audit_v1,SPLIT,audit_yue,MAX,124,0.29032258064516125
yue_cross_component_audit_v1,ALL,ALL,TOP3,124,0.3548387096774194
yue_cross_component_audit_v1,MIX_MODE,concurrent,TOP3,32,0.5
