DATASET,ID,WINDOW_COUNT,MEDIAN,MEAN,MAX,TOP3,LME_T2,LME_T5,Q75,WINDOW_SCORES
factorial_eval_1200_v2,factorial_0000,3,0.0013608336448669,0.0022437373797098,0.0046877861022949,0.0022437373797098,0.0022468029764408,0.0022514097314069,0.0030243098735809,"[0.0013608336448669434,0.004687786102294922,0.0006825923919677734]"
factorial_eval_1200_v2,factorial_0001,3,0.8135865926742554,0.7515498797098795,0.9494754672050476,0.7515498797098795,0.7857392874674713,0.824778829351463,0.8815310299396515,"[0.4915875792503357,0.9494754672050476,0.8135865926742554]"
factorial_eval_1200_v2,factorial_0002,2,0.016990303993225,0.016990303993225,0.033741295337677,0.016990303993225,0.0172708472306497,0.017690974656371,0.025365799665451,"[0.00023931264877319336,0.033741295337677]"
factorial_eval_1200_v2,factorial_0003,2,0.0015460848808288,0.0015460848808288,0.0028355717658996,0.0015460848808288,0.0015477476554124,0.0015502417930958,0.0021908283233642,"[0.00025659799575805664,0.002835571765899658]"
factorial_eval_1200_v2,factorial_0004,3,0.7336674928665161,0.5264794826507568,0.789752721786499,0.5264794826507568,0.617191292262123,0.6854621262932021,0.7617101073265076,"[0.05601823329925537,0.7336674928665161,0.789752721786499]"
factorial_eval_1200_v2,factorial_0005,2,0.1499772667884826,0.1499772667884826,0.2328853607177734,0.1499772667884826,0.1568197488893332,0.1666909145162661,0.191431313753128,"[0.23288536071777344,0.0670691728591919]"
factorial_eval_1200_v2,factorial_0006,2,0.0120110809803009,0.0120110809803009,0.0229578018188476,0.0120110809803009,0.0121309021057107,0.0123105082654364,0.0174844413995742,"[0.022957801818847656,0.0010643601417541504]"
factorial_eval_1200_v2,factorial_0007,2,0.9830010831356047,0.9830010831356047,0.9995259046554564,0.9830010831356047,0.983274103164959,0.983682982121998,0.9912634938955308,"[0.9995259046554565,0.9664762616157532]"
factorial_eval_1200_v2,factorial_0008,3,0.1144529581069946,0.2085316181182861,0.5,0.2085316181182861,0.255216724266489,0.3220483282902007,0.3072264790534973,"[0.5,0.11445295810699463,0.01114189624786377]"
factorial_eval_1200_v2,factorial_0009,2,7.474422454833984e-05,7.474422454833984e-05,8.153915405273438e-05,7.474422454833984e-05,7.474427071941074e-05,7.474433997599572e-05,7.814168930053711e-05,"[6.794929504394531e-05,8.153915405273438e-05]"
factorial_eval_1200_v2,factorial_0010,2,0.2152232825756073,0.2152232825756073,0.430101215839386,0.2152232825756073,0.2600408357300682,0.3135341850016427,0.3226622492074966,"[0.0003453493118286133,0.430101215839386]"
factorial_eval_1200_v2,factorial_0011,2,0.0022941529750823,0.0022941529750823,0.0027281641960144,0.0022941529750823,0.0022943413407986,0.0022946238890625,0.0025111585855484,"[0.0027281641960144043,0.0018601417541503906]"
factorial_eval_1200_v2,factorial_0012,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0013,2,0.5661974847316742,0.5661974847316742,0.5887731313705444,0.5661974847316742,0.5667069714781645,0.567468937680817,0.5774853080511093,"[0.5887731313705444,0.543621838092804]"
factorial_eval_1200_v2,factorial_0014,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5]"
factorial_eval_1200_v2,factorial_0015,2,0.0064214169979095,0.0064214169979095,0.0076790452003479,0.0064214169979095,0.0064229986249374,0.0064253710435909,0.0070502310991287,"[0.0076790452003479,0.005163788795471191]"
factorial_eval_1200_v2,factorial_0016,2,0.721127063035965,0.721127063035965,0.721870481967926,0.721127063035965,0.7211276157074697,0.7211284447120543,0.7214987725019455,"[0.721870481967926,0.7203836441040039]"
factorial_eval_1200_v2,factorial_0017,2,0.0002650618553161,0.0002650618553161,0.0002656579017639,0.0002650618553161,0.0002650618556714,0.0002650618562043,0.00026535987854,"[0.000265657901763916,0.0002644658088684082]"
factorial_eval_1200_v2,factorial_0018,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5]"
factorial_eval_1200_v2,factorial_0019,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5]"
factorial_eval_1200_v2,factorial_0020,3,0.0006292462348937,0.0068035721778869,0.0192465186119079,0.0068035721778869,0.0068813051494678,0.0069990679206663,0.0099378824234008,"[0.01924651861190796,0.0006292462348937988,0.0005349516868591309]"
factorial_eval_1200_v2,factorial_0021,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0022,2,0.1696249544620514,0.1696249544620514,0.3388403654098511,0.1696249544620514,0.1977283462375113,0.2340113241237764,0.2542326599359512,"[0.000409543514251709,0.3388403654098511]"
factorial_eval_1200_v2,factorial_0023,3,0.2118573784828186,0.2986187934875488,0.5376148223876953,0.2986187934875488,0.3294869293848199,0.3760630704410063,0.3747361004352569,"[0.14638417959213257,0.5376148223876953,0.2118573784828186]"
factorial_eval_1200_v2,factorial_0024,2,0.1240679323673248,0.1240679323673248,0.2433140873908996,0.1240679323673248,0.1381547888906599,0.1576911499112436,0.1836910098791122,"[0.24331408739089966,0.00482177734375]"
factorial_eval_1200_v2,factorial_0025,3,0.9999783039093018,0.9997637669245402,0.9999972581863404,0.9997637669245402,0.9997638673341056,0.9997640178922802,0.999987781047821,"[0.9999972581863403,0.9993157386779785,0.9999783039093018]"
factorial_eval_1200_v2,factorial_0026,3,0.7200658321380615,0.5669840971628824,0.9648072123527528,0.5669840971628824,0.6989791635446194,0.7979947756261747,0.8424365222454071,"[0.016079246997833252,0.9648072123527527,0.7200658321380615]"
factorial_eval_1200_v2,factorial_0027,3,6.437301635742188e-06,0.0002218683560689,0.0006527304649353,0.0002218683560689,0.000221961190474,0.0002221004920165,0.0003295838832855,"[0.0006527304649353027,6.4373016357421875e-06,6.4373016357421875e-06]"
factorial_eval_1200_v2,factorial_0028,3,0.0840628147125244,0.2414537270863851,0.638458788394928,0.2414537270863851,0.327232765772028,0.4385234448424945,0.3612608015537262,"[0.0018395781517028809,0.08406281471252441,0.638458788394928]"
factorial_eval_1200_v2,factorial_0029,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0030,2,0.527829647064209,0.527829647064209,0.9673967957496644,0.527829647064209,0.7003253612205884,0.8312183986571655,0.7476132214069366,"[0.9673967957496643,0.08826249837875366]"
factorial_eval_1200_v2,factorial_0031,4,0.999184638261795,0.9991402626037598,0.9998302459716796,0.9993998408317566,0.999140575027718,0.9991410435868902,0.999560371041298,"[0.9988988637924194,0.9998302459716797,0.9983615279197693,0.9994704127311707]"
factorial_eval_1200_v2,factorial_0032,3,0.0005529522895812,0.0013006925582885,0.0031829476356506,0.0013006925582885,0.0013024899956905,0.0013051901224098,0.0018679499626159,"[0.0031829476356506348,0.0005529522895812988,0.00016617774963378906]"
factorial_eval_1200_v2,factorial_0033,3,1.6689300537109375e-06,1.5099843343098958e-06,1.9073486328125e-06,1.5099843343098958e-06,1.5099844985243897e-06,1.5099847448467755e-06,1.7881393432617188e-06,"[1.6689300537109375e-06,1.9073486328125e-06,9.5367431640625e-07]"
factorial_eval_1200_v2,factorial_0034,4,0.137443333864212,0.2417366057634353,0.6803118586540222,0.3183995087941487,0.3213672000832305,0.4368870682311849,0.3472369313240051,"[0.23621195554733276,0.6803118586540222,0.011747896671295166,0.03867471218109131]"
factorial_eval_1200_v2,factorial_0035,3,0.7549252510070801,0.787319560845693,0.991419553756714,0.787319560845693,0.8118288907898299,0.8472828053361734,0.873172402381897,"[0.6156138777732849,0.9914195537567139,0.7549252510070801]"
factorial_eval_1200_v2,factorial_0036,2,0.5939150750637054,0.5939150750637054,0.9749592542648317,0.5939150750637054,0.7269087609530095,0.8407091980864202,0.7844371646642685,"[0.9749592542648315,0.21287089586257935]"
factorial_eval_1200_v2,factorial_0037,4,0.995785802602768,0.96229787170887,0.9998125433921814,0.9971280495325724,0.965777601752156,0.9703538810120284,0.9998096823692322,"[0.9917628765106201,0.8578073382377625,0.9998087286949158,0.9998125433921814]"
factorial_eval_1200_v2,factorial_0038,2,0.2576019167900085,0.2576019167900085,0.4633256196975708,0.2576019167900085,0.2987813242295244,0.3487511219788572,0.3604637682437897,"[0.4633256196975708,0.05187821388244629]"
factorial_eval_1200_v2,factorial_0039,3,8.821487426757812e-05,8.47180684407552e-05,0.0001252889633178,8.47180684407552e-05,8.471926849906283e-05,8.47210685708647e-05,0.0001067519187927,"[4.0650367736816406e-05,0.0001252889633178711,8.821487426757812e-05]"
factorial_eval_1200_v2,factorial_0040,3,0.9625086188316344,0.6610647439956665,0.99881112575531,0.6610647439956665,0.8136878505971397,0.901212286841683,0.9806598722934724,"[0.02187448740005493,0.9625086188316345,0.9988111257553101]"
factorial_eval_1200_v2,factorial_0041,4,0.998472899198532,0.996666669845581,0.9993711113929749,0.9987723032633464,0.996680336008158,0.9967007004562464,0.9992449581623076,"[0.9977428913116455,0.9992029070854187,0.9993711113929749,0.9903497695922852]"
factorial_eval_1200_v2,factorial_0042,2,0.000550091266632,0.000550091266632,0.0005902051925659,0.000550091266632,0.0005500928757591,0.0005500952894496,0.0005701482295989,"[0.000590205192565918,0.0005099773406982422]"
factorial_eval_1200_v2,factorial_0043,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0044,3,0.2093521952629089,0.1949048439661661,0.3743078708648681,0.1949048439661661,0.2176385508737053,0.2477132622715642,0.2918300330638885,"[0.0010544657707214355,0.20935219526290894,0.37430787086486816]"
factorial_eval_1200_v2,factorial_0045,3,0.0001059770584106,0.0002700885136922,0.0006041526794433,0.0002700885136922,0.0002701443250224,0.0002702280652908,0.000355064868927,"[0.0006041526794433594,0.00010013580322265625,0.00010597705841064453]"
factorial_eval_1200_v2,factorial_0046,4,0.0001932680606842,0.0009079128503799,0.0031628608703613,0.0011831323305765,0.0009096136933595,0.0009121712957638,0.0009850412607192,"[0.00025910139083862305,0.003162860870361328,0.00012743473052978516,8.225440979003906e-05]"
factorial_eval_1200_v2,factorial_0047,2,0.006890445947647,0.006890445947647,0.0130175948143005,0.006890445947647,0.00692798696132,0.006984286153174,0.0099540203809738,"[0.0007632970809936523,0.013017594814300537]"
factorial_eval_1200_v2,factorial_0048,3,0.2737887501716614,0.2918169101079305,0.5413252711296082,0.2918169101079305,0.3304678396514017,0.3820268557278819,0.4075570106506347,"[0.06033670902252197,0.5413252711296082,0.2737887501716614]"
factorial_eval_1200_v2,factorial_0049,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0050,2,0.0034501552581787,0.0034501552581787,0.0060425996780395,0.0034501552581787,0.0034568759961365,0.0034669567078674,0.0047463774681091,"[0.006042599678039551,0.0008577108383178711]"
factorial_eval_1200_v2,factorial_0051,1,0.0006986856460571,0.0006986856460571,0.0006986856460571,0.0006986856460571,0.0006986856460571,0.0006986856460571,0.0006986856460571,[0.0006986856460571289]
factorial_eval_1200_v2,factorial_0052,2,0.0150386095046997,0.0150386095046997,0.0277814269065856,0.0150386095046997,0.0152009713250361,0.0154442836330438,0.0214100182056427,"[0.0022957921028137207,0.027781426906585693]"
factorial_eval_1200_v2,factorial_0053,2,0.36514413356781,0.36514413356781,0.5522980093955994,0.36514413356781,0.3993821146216653,0.4422957673102613,0.4587210714817047,"[0.5522980093955994,0.17799025774002075]"
factorial_eval_1200_v2,factorial_0054,2,0.2574557363986969,0.2574557363986969,0.5,0.2574557363986969,0.3141114834660911,0.3783194692325226,0.3787278681993484,"[0.5,0.014911472797393799]"
factorial_eval_1200_v2,factorial_0055,2,0.9681227505207062,0.9681227505207062,0.991360604763031,0.9681227505207062,0.9686625541039272,0.9694697186093924,0.9797416776418686,"[0.9448848962783813,0.991360604763031]"
factorial_eval_1200_v2,factorial_0056,3,0.2164137363433838,0.1985478401184082,0.3325577974319458,0.1985478401184082,0.211997824205962,0.2302749499949859,0.2744857668876648,"[0.3325577974319458,0.2164137363433838,0.04667198657989502]"
factorial_eval_1200_v2,factorial_0057,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5]"
factorial_eval_1200_v2,factorial_0058,3,0.0017908811569213,0.002054472764333,0.0034831762313842,0.002054472764333,0.0020556291094398,0.0020573647152471,0.0026370286941528,"[0.0017908811569213867,0.0008893609046936035,0.0034831762313842773]"
factorial_eval_1200_v2,factorial_0059,2,0.3601414263248443,0.3601414263248443,0.5,0.3601414263248443,0.379451972267159,0.4055100304312262,0.4300707131624222,"[0.5,0.22028285264968872]"
factorial_eval_1200_v2,factorial_0060,2,0.0018182396888732,0.0018182396888732,0.0022650957107543,0.0018182396888732,0.0018184393691509,0.0018187388892186,0.0020416676998138,"[0.0022650957107543945,0.0013713836669921875]"
factorial_eval_1200_v2,factorial_0061,2,0.9988236129283904,0.9988236129283904,0.9992109537124634,0.9988236129283904,0.9988237629612584,0.9988239880103637,0.9990172833204268,"[0.9992109537124634,0.9984362721443176]"
factorial_eval_1200_v2,factorial_0062,3,0.0507020354270935,0.0586966077486674,0.1165123581886291,0.0586966077486674,0.060672899189313,0.0636682862458551,0.0836071968078613,"[0.008875429630279541,0.050702035427093506,0.11651235818862915]"
factorial_eval_1200_v2,factorial_0063,3,0.0700840353965759,0.1930528283119201,0.5,0.1930528283119201,0.2439896679597262,0.3171461573271209,0.2850420176982879,"[0.5,0.00907444953918457,0.07008403539657593]"
factorial_eval_1200_v2,factorial_0064,3,0.0008847117424011,0.0046287775039672,0.012542188167572,0.0046287775039672,0.0046602005406758,0.0047076373355859,0.0067134499549865,"[0.012542188167572021,0.000884711742401123,0.00045943260192871094]"
