expert_weight,eer
0.0,0.12015959356955122
0.01,0.12015959356955122
0.02,0.12015959356955122
0.03,0.11969022015717012
0.04,0.11875147333240804
0.05,0.11828209992002695
0.06,0.11828209992002695
0.07,0.11828209992002695
0.08,0.11875147333240804
0.09,0.11828209992002695
0.1,0.11828209992002695
0.11,0.11828209992002695
0.12,0.1178127265076459
0.13,0.1178127265076459
0.14,0.11828209992002695
0.15,0.11828209992002695
0.16,0.11828209992002695
0.17,0.11875147333240804
0.18,0.11969022015717012
0.19,0.11969022015717012
0.2,0.11969022015717012
0.21,0.12062896698193226
0.22,0.11922084674478908
0.23,0.11922084674478908
0.24,0.11922084674478908
0.25,0.11875147333240804
0.26,0.11875147333240804
0.27,0.11828209992002695
0.28,0.11922084674478908
0.29,0.11875147333240804
0.3,0.11922084674478908
0.31,0.11922084674478908
0.32,0.11922084674478908
0.33,0.12015959356955122
0.34,0.12015959356955122
0.35000000000000003,0.12015959356955122
0.36,0.12015959356955122
0.37,0.12015959356955122
0.38,0.1215677138066944
0.39,0.1210983403943133
0.4,0.12344520745621862
0.41000000000000003,0.12391458086859966
0.42,0.1248533276933618
0.43,0.1257920745181239
0.44,0.12766956816764813
0.45,0.12860831499241027
0.46,0.12907768840479134
0.47000000000000003,0.13001643522955347
0.48,0.1318939288790777
0.49,0.13283267570383983
0.5,0.13517954276574512
0.51,0.1361182895905072
0.52,0.13893453006479356
0.53,0.14175077053907992
0.54,0.14268951736384206
0.55,0.1455057578381284
0.56,0.14691387807527156
0.5700000000000001,0.1478526249000337
0.58,0.14973011854955792
0.59,0.15348510584860642
0.6,0.15630134632289278
0.61,0.15911758679717913
0.62,0.1605257070343223
0.63,0.1642806943333708
0.64,0.16662756139527607
0.65,0.1699131752819435
0.66,0.1713212955190867
0.67,0.17413753599337306
0.68,0.17601502964289728
0.6900000000000001,0.17883127011718364
0.7000000000000001,0.18211688400385107
0.71,0.18493312447813742
0.72,0.18727999154004268
0.73,0.19009623201432904
0.74,0.19150435225147222
0.75,0.19525933955052072
0.76,0.19713683320004494
0.77,0.20042244708671236
0.78,0.20276931414861765
0.79,0.2041774343857608
0.8,0.2084017950971904
0.81,0.21027928874671462
0.8200000000000001,0.21309552922100097
0.8300000000000001,0.2149730228705252
0.84,0.2159117696952873
0.85,0.21638114310766837
0.86,0.21872801016957366
0.87,0.22154425064386002
0.88,0.22248299746862216
0.89,0.22436049111814638
0.9,0.22811547841719487
0.91,0.2299929720667191
0.92,0.2318704657162433
0.93,0.2332785859533865
0.9400000000000001,0.23468670619052967
0.9500000000000001,0.2360948264276729
0.96,0.2393804403143403
0.97,0.24125793396386452
0.98,0.24454354785053195
0.99,0.24876790856196151
1.0,0.2504106604274482
