DATASET,ANCHOR_ADS,T2_ADS,DELTA,FILE_EER,VOICE_EER,MUSIC_EER
dev,0.7403376623376623,0.7986493506493506,0.058311688311688314,0.17527272727272727,0.25142857142857145,0.2114285714285714
factorial,0.7682077922077922,0.8192727272727272,0.051064935064934924,0.16945454545454547,0.20571428571428574,0.18285714285714283
phone,0.8702142857142858,0.9034285714285715,0.03321428571428564,0.08414285714285716,0.16000000000000003,0.07499999999999998
yue,0.8664850689574568,0.8967296341748481,0.030244565217391273,0.09578804347826086,0.08333333333333334,0.12903225806451613
