DATASET,PHONE_COUNT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,67.0,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844
factorial_v18,,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585
phone,1200.0,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572
phone_v18,,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287
yue,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,
yue_v18,,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,
factorial_plus_phone,,1600,1600,1150,1150,0.17255384615384614,0.18956521739130439,0.14782608695652177,0.9602415458937198,0.9882376811594205,0.8314622073578595,0.9742396135265701,0.8457399479747305
