family,ads_objective,mean_ads,worst_ads,weight_voice,weight_music,weight_file
seed25_music,0.8453024517311725,0.8575356333831803,0.8225836858060153,0.9500000000000001,0.8500000000000001,1.0
uniform_ensemble,0.8421897517983625,0.8553055319982907,0.8178318742842103,0.7000000000000001,0.9500000000000001,1.0
seed24_overall,0.8420424706128578,0.8546184572968609,0.8186870667711376,1.0,1.0,1.0
seed26_background,0.8417413133236216,0.8538761637558645,0.8192051625208849,0.5,1.0,1.0
