DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,FAKE_OVER_HALF,MUSIC_OVER_HALF
factorial_eval_1200_v2_holdout,400,400,350,350,0.21527272727272728,0.3314285714285714,0.18285714285714283,0.9900571428571429,0.9973142857142857,0.7712207792207793,0.9936857142857143,0.7934672727272728,330,200
phone_factorial_1200_v1,1200,1200,800,800,0.15171428571428575,0.23250000000000004,0.07499999999999998,0.999975,0.9999437499999999,0.8551428571428572,0.999959375,0.8696245089285716,843,467
yue_cross_component_audit_v1,124,124,108,124,0.19157608695652173,0.37916666666666665,0.09677419354838711,0.9623842592592591,,0.7993463651238897,,,115,79
suno_vocals_v1,13,13,13,13,,,,,,,,,13,13
