STRENGTH,SEED,BEST_EPOCH,SELECTION
0.1,20260905,2,0.8492474489795918
0.1,20260906,2,0.8494855442176871
0.1,20260907,2,0.8492474489795918
0.25,20260905,0,0.8448214285714286
0.25,20260906,0,0.8452678571428571
0.25,20260907,0,0.8452678571428571
0.5,20260905,1,0.8440178571428572
0.5,20260906,1,0.8476403061224491
0.5,20260907,1,0.844672619047619
1.0,20260905,0,0.8413477891156462
1.0,20260906,0,0.8476105442176871
1.0,20260907,0,0.8476105442176871
