heldout,anchor,weight,train_eer,heldout_anchor_eer,heldout_fused_eer
codec_mixed_dev_v4,v83,0.52,0.09833379591909822,0.21333333333333337,0.24
codec_mixed_dev_v4,v101,0.45,0.0972411981866638,0.20333333333333337,0.22333333333333336
echoes_fma_paired_v3,v83,0.5,0.1142168674698795,0.09009740259740262,0.05405844155844157
echoes_fma_paired_v3,v101,0.34,0.11518072289156625,0.07207792207792209,0.05405844155844157
external_mixed_v1,v83,0.37,0.11396012160468814,0.14,0.13
external_mixed_v1,v101,0.38,0.11137011884094522,0.13,0.125
external_mixed_v1_telephone_v1,v83,0.43,0.11292412049919101,0.15500000000000003,0.15000000000000002
external_mixed_v1_telephone_v1,v101,0.29,0.11188811939369382,0.15500000000000003,0.15000000000000002
factorial_eval_1200_v2,v83,0.49,0.10943493428312911,0.18285714285714283,0.16000000000000003
factorial_eval_1200_v2,v101,0.36,0.10841217788795966,0.2114285714285714,0.1885714285714286
mixfake_music_dev_v1,v83,0.47000000000000003,0.1352875050134728,0.09624999999999997,0.07374999999999998
mixfake_music_dev_v1,v101,0.24,0.14205188026414645,0.06499999999999997,0.057499999999999996
source_disjoint_mixed_v1,v83,0.4,0.11573504764815315,0.07999999999999999,0.06999999999999998
source_disjoint_mixed_v1,v101,0.36,0.11425757895477248,0.07999999999999999,0.06999999999999998
source_disjoint_mixed_v1_telephone_v1,v83,0.38,0.11228762069693156,0.15000000000000002,0.15000000000000002
source_disjoint_mixed_v1_telephone_v1,v101,0.37,0.11179513113247132,0.13,0.13
source_disjoint_music_v1,v83,0.4,0.12069412879041977,0.03500000000000002,0.03500000000000002
source_disjoint_music_v1,v101,0.35000000000000003,0.12069412879041977,0.03500000000000002,0.025000000000000012
