DATASET,METHOD,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA_VS_V38
factorial,v18,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585,0.0
factorial,wpt_residual,400,400,350,350,0.24181818181818182,0.19999999999999998,0.27428571428571424,0.9928,0.9989142857142856,0.7568051948051948,0.9958571428571428,0.7807103896103896,0.011298701298701253
phone,v18,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287,0.0
phone,wpt_residual,1200,1200,800,800,0.20585714285714285,0.16249999999999998,0.345,0.956603125,0.9840593750000001,0.7610714285714286,0.9703312500000001,0.7819974107142859,0.027214285714285746
yue,v18,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,wpt_residual,124,124,108,124,0.15421195652173914,0.08333333333333334,0.19354838709677422,0.9837962962962963,,0.8481628389434315,,,0.01971467391304349
