MODEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
anchor,240,240,0.2333333333333333,240,0.08333333333333334,240,0.2583333333333333,,,0.7891666666666667,,False,
voice_mil_v53,240,240,0.2333333333333333,240,0.09999999999999999,240,0.2583333333333333,,,0.7858333333333334,,False,
