STRATEGY,MEAN_ADS,MIN_DELTA,MEAN_DELTA
fixed_soft_moe,0.8345802179908685,0.0,0.0
domain_soft_moe,0.837590607601258,-0.0016666666666667052,0.00301038961038963
confidence_hard_expert,0.837772170512984,-0.01971467391304349,0.003191952522115571
anchor,0.8208487386006933,-0.02616666666666667,-0.013731479390175027
phone_hard_expert,0.8153428944448493,-0.054333333333333345,-0.019237323546019192
content_hard_expert,0.8137702530463926,-0.07372735507246375,-0.020809964944475824
