DATASET,STRATEGY,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA_VS_FIXED_MOE
external_mixed_v1,anchor,400,400,400,400,0.21833333333333332,0.30500000000000005,0.15500000000000003,,,0.7833333333333334,,,-0.023166666666666558
external_mixed_v1,fixed_soft_moe,400,400,400,400,0.18999999999999997,0.26,0.15500000000000003,,,0.8065,,,0.0
external_mixed_v1,domain_soft_moe,400,400,400,400,0.18999999999999997,0.255,0.15500000000000003,,,0.8075000000000001,,,0.001000000000000112
external_mixed_v1,phone_hard_expert,400,400,400,400,0.21833333333333332,0.30500000000000005,0.15500000000000003,,,0.7833333333333334,,,-0.023166666666666558
external_mixed_v1,content_hard_expert,400,400,400,400,0.24,0.29000000000000004,0.15500000000000003,,,0.7755000000000001,,,-0.030999999999999917
external_mixed_v1,confidence_hard_expert,400,400,400,400,0.16166666666666668,0.235,0.15500000000000003,,,0.8256666666666668,,,0.019166666666666776
source_disjoint_mixed_v1,anchor,200,200,200,200,0.16000000000000003,0.16000000000000003,0.10999999999999999,,,0.855,,,-0.01766666666666672
source_disjoint_mixed_v1,fixed_soft_moe,200,200,200,200,0.13666666666666666,0.13,0.10999999999999999,,,0.8726666666666667,,,0.0
source_disjoint_mixed_v1,domain_soft_moe,200,200,200,200,0.13666666666666666,0.13,0.10999999999999999,,,0.8726666666666667,,,0.0
source_disjoint_mixed_v1,phone_hard_expert,200,200,200,200,0.16000000000000003,0.16000000000000003,0.10999999999999999,,,0.855,,,-0.01766666666666672
source_disjoint_mixed_v1,content_hard_expert,200,200,200,200,0.14,0.13,0.10999999999999999,,,0.871,,,-0.0016666666666667052
source_disjoint_mixed_v1,confidence_hard_expert,200,200,200,200,0.07999999999999999,0.14,0.10999999999999999,,,0.899,,,0.02633333333333332
source_disjoint_mixed_equal_v1,anchor,200,200,200,200,0.12,0.08999999999999998,0.10999999999999999,,,0.889,,,-0.02200000000000002
source_disjoint_mixed_equal_v1,fixed_soft_moe,200,200,200,200,0.07999999999999999,0.07999999999999999,0.10999999999999999,,,0.911,,,0.0
source_disjoint_mixed_equal_v1,domain_soft_moe,200,200,200,200,0.08333333333333334,0.07999999999999999,0.10999999999999999,,,0.9093333333333333,,,-0.0016666666666667052
source_disjoint_mixed_equal_v1,phone_hard_expert,200,200,200,200,0.12,0.08999999999999998,0.10999999999999999,,,0.889,,,-0.02200000000000002
source_disjoint_mixed_equal_v1,content_hard_expert,200,200,200,200,0.09999999999999999,0.13,0.10999999999999999,,,0.891,,,-0.020000000000000018
source_disjoint_mixed_equal_v1,confidence_hard_expert,200,200,200,200,0.07999999999999999,0.08999999999999998,0.10999999999999999,,,0.909,,,-0.0020000000000000018
external_mixed_v1_telephone_v1,anchor,400,400,400,400,0.24833333333333335,0.31000000000000005,0.16500000000000004,,,0.7643333333333333,,,-0.02616666666666667
