EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.013400659529848936,0.7946030092592593,0.8440631613756614,0.7451428571428571
1,0.01274768647519832,0.7947013888888887,0.8442599206349205,0.7451428571428571
2,0.011782326339248647,0.7941352062289563,0.8440366462241463,0.7442337662337662
3,0.011969236379608195,0.7931734006734008,0.8438273208273209,0.7425194805194806
4,0.012163332623845719,0.7933296506734008,0.844139820827321,0.7425194805194806
5,0.011751003880450066,0.7939442340067341,0.8453689874939876,0.7425194805194806
6,0.011783626703347297,0.793145622895623,0.8437717652717653,0.7425194805194806
7,0.01208056784928479,0.79170906986532,0.8438077501202502,0.7396103896103896
8,0.011295369311057507,0.7933609006734008,0.8442023208273209,0.7425194805194806
9,0.011797860720531737,0.7932497895622896,0.8439800986050986,0.7425194805194806
10,0.011680770962637789,0.7925761784511784,0.8437757335257335,0.7413766233766234
11,0.011967060869520015,0.793988425925926,0.8445482804232806,0.7434285714285714
12,0.012199784312000934,0.7944293981481482,0.8448587962962963,0.744
13,0.011723183154901291,0.7944502314814815,0.8449004629629631,0.744
