MODE,ROLE,FOLD,MUSIC_SCORE,AUTHORIZED_SELECTION,LOGO_MEAN,LOGO_WORST
dual,LOGO,suno,0.7574753284952445,,,
dual,LOGO,udio,0.7585932608717965,,,
dual,LOGO,musicgen,0.6621658483360611,,,
dual,LOGO,audioldm,0.5700762352498074,,,
dual,LOGO,musicldm,0.6806317174819039,,,
dual,LOGO,mubert,0.9066731141199226,,,
dual,SUMMARY,authorized+LOGO,0.665250912318559,0.6841624149659864,0.722602584092456,0.5700762352498074
