EPOCH,LOSS,SELECTION,POOLED_DEVELOPMENT_ADS,MEAN_NORMALIZED_DOMAIN_ADS,WORST_NORMALIZED_DOMAIN_ADS,LOSS_VOICE,LOSS_MUSIC,LOSS_FILE,LOSS_RESIDUAL,LOSS_RANK_VOICE,LOSS_RANK_MUSIC,LOSS_RANK_FILE,LOSS_RANKING,LOSS_QUARTET_INVARIANCE,LOSS_QUARTET_LATENT_INVARIANCE,LOSS_AUC_RANKING,LOSS_LOGIT_CONSISTENCY,LOSS_LATENT_CONSISTENCY,LOSS_GROUP_DRO
0,,0.8036484876507457,0.8256025759508419,0.8441665764790767,0.7192222222222222,,,,,,,,,,,,,,
2,0.6233129615382272,0.812872086767109,0.8374829902730347,0.8515223665223666,0.725,0.5141179166658192,0.16073038883279173,0.18386570037323602,0.6725494991607812,0.37624596639973473,0.0370502744525747,0.17301158082424378,0.17287006774651154,0.5591484799372907,0.21981483467911578,0.144984784464789,0.8521552539753671,0.23555094957807843,0.8695583000246968
4,0.5723385201120863,0.813631704627306,0.8346723510073039,0.8531821164946164,0.732,0.46914252323307554,0.15271366172831277,0.16358222569129904,0.7427765342349909,0.3215169752710404,0.03755017861602733,0.15599280593878762,0.15356485325158858,0.4780754431778071,0.17809757255778022,0.11696560040819554,0.8723821360998008,0.18471305840173546,0.8217647068430575
6,0.5379072509858073,0.8246567910893188,0.8465467101617656,0.8588670773670771,0.7466666666666666,0.44215905502894703,0.14652708728740715,0.14757267273582367,0.77925918935513,0.29606550289983197,0.03335157511530121,0.14254609784776612,0.14049162351697378,0.4496868791400778,0.15650983863719264,0.10682962888528649,0.8610287269919502,0.16001890753680953,0.7684723079698731
8,0.5225768171193945,0.8203615509798688,0.840799983411619,0.8548462370962372,0.745,0.4354943056560048,0.1419275158840888,0.14389264728618031,0.800038022849396,0.30172957897034614,0.029754079372382725,0.13623058128125642,0.1373874316840378,0.38914007236636017,0.13606565504432028,0.10271683896467583,0.8571443343890532,0.12956315893253298,0.78120003115509
10,0.5048687876256671,0.8234159879437931,0.8423182639051243,0.8580274239649239,0.751,0.4268015221936709,0.14237946071887136,0.13787531433745498,0.8132045933308493,0.27444589905364974,0.02726265906419074,0.11937876438613004,0.12275736094582779,0.34256378972651697,0.1393576725824492,0.10023174737757853,0.8581904944876071,0.14519234158989733,0.7681630958658442
12,0.48825521166531405,0.8136948807857125,0.8342732738924374,0.8523440864690864,0.7338888888888888,0.41949791404209574,0.13400713682212695,0.1381039151978888,0.8242457988006728,0.2819164295262676,0.02357160366539444,0.1205721302385613,0.12374083339284193,0.32540848189774824,0.130461168342403,0.09431986450645312,0.8224598636128464,0.12427837354112037,0.7337691947741776
14,0.46972948597858144,0.8220587205337386,0.8459840015902877,0.856266878954379,0.74,0.40577405314816506,0.13350551833911817,0.13211597422403948,0.8173932220254626,0.270118677658409,0.020668031094531643,0.11184454066393783,0.11614641692603425,0.28463178667791034,0.11023853934008856,0.08723665115765619,0.8124081424000312,0.11310356915263194,0.724481414186255
16,0.47338219479901794,0.8225138405324843,0.8422151914712291,0.8599583125208125,0.7456666666666667,0.41534218504911163,0.1303921711676145,0.13319361386180834,0.8333094763088469,0.2597030539103516,0.018802515182788686,0.10084573895630188,0.10800423622889677,0.277671084386171,0.09726280371158481,0.09005958427919156,0.8040855623990222,0.09560496551541578,0.7474345940214987
18,0.4514580445966041,0.8200360523284396,0.8386906493066737,0.8567629107004108,0.746,0.3927095266623048,0.13013707431218097,0.13110416113344464,0.8325088350220794,0.23728794870902867,0.018339385264600525,0.09620973356921254,0.10106427329604256,0.25287401070936794,0.08534336812396086,0.08221633293199099,0.7740150226360666,0.0813186584045262,0.7077454400388642
20,0.465228545726562,0.8192699076092311,0.8361740525089496,0.8573981920856922,0.7473333333333334,0.403926493181866,0.12809348742154483,0.12920444667795483,0.8370743935205498,0.2418408894178931,0.01737106780574879,0.09362952373354644,0.10039426128965641,0.2512215282672978,0.09201717067852008,0.0858068922843442,0.8096643155630754,0.09406073185216103,0.7627144757354137
22,0.4482890221157244,0.8237637968853025,0.8430940273370386,0.8598671328671327,0.749,0.3886055826988755,0.12708427680998433,0.12676823068866316,0.8451908007264137,0.24402326702767488,0.016005994868761746,0.08650719286037648,0.09686004951577254,0.24348931312466002,0.07833801930276107,0.0814665312859781,0.7905971296891874,0.07905317043733535,0.7186850808674887
